priority,quantity,sales,shipping,price,cost,customer,category,name,container,margin
Medium,27,192.814,Regular Air,7.99,5.03,Consumer,Technology,Bell Sonecor JB700 Caller ID,Medium Box,0.6
Medium,30,4011.65,Delivery Truck,130.98,54.74,Consumer,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69
Not Specified,11,1132.6,Regular Air,95.99,35,Home Office,Office Supplies,Safco Industrial Wire Shelving,Large Box,
Not Specified,25,125.85,Regular Air,4.98,4.62,Consumer,Technology,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.64
High,10,567.936,Express Air,65.99,8.99,Consumer,Technology,i270,Small Box,0.55
Critical,14,174.89,Regular Air,12.44,6.27,Consumer,Office Supplies,Eldon Simplefile¢ç Box Office¢ç,Medium Box,0.57
Medium,49,329.03,Regular Air,7.28,7.98,Corporate,Furniture,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42
Medium,6,20.19,Regular Air,3.14,1.92,Corporate,Office Supplies,Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84
Medium,34,1315.74,Regular Air,36.55,13.89,Home Office,Office Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41
High,23,310.52,Regular Air,12.98,3.14,Home Office,Office Supplies,"Acme¢ç 8"" Straight Scissors",Small Pack,0.6
Not Specified,25,184.86,Regular Air,7.38,5.21,Corporate,Furniture,"Eldon¢ç Expressions¢â Wood Desk Accessories, Oak",Small Box,0.56
Not Specified,44,267.85,Regular Air,5.98,5.15,Corporate,Office Supplies,Xerox 193,Small Box,0.36
Not Specified,33,528.5,Regular Air,15.42,10.68,Corporate,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58
Critical,24,126.58,Regular Air,5.58,0.7,Home Office,Office Supplies,Newell 314,Wrap Bag,0.6
Critical,1,23.7,Regular Air,19.84,4.1,Home Office,Office Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44
Critical,43,586.11,Regular Air,12.64,4.98,Consumer,Furniture,Nu-Dell Executive Frame,Small Pack,0.48
Critical,24,599.1,Regular Air,24.92,12.98,Consumer,Office Supplies,GBC Standard Therm-A-Bind Covers,Small Box,0.39
Critical,47,2029.75,Regular Air,43.98,8.99,Corporate,Office Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58
Critical,11,1118.396,Regular Air,125.99,8.08,Corporate,Technology,StarTAC ST7762,Small Box,0.57
High,2,689.74,Regular Air,363.25,19.99,Small Business,Office Supplies,Hoover WindTunnel¢â Plus Canister Vacuum,Small Box,0.57
Critical,21,154.35,Regular Air,6.48,8.74,Home Office,Office Supplies,Xerox 1984,Small Box,0.36
Critical,7,201.36,Delivery Truck,20.98,53.03,Home Office,Office Supplies,"Tennsco Lockers, Gray",Jumbo Drum,0.78
Critical,33,216.77,Regular Air,6.54,5.27,Home Office,Office Supplies,Wilson Jones¢ç Four-Pocket Poly Binders,Small Box,0.36
Medium,47,5677.609,Regular Air,140.99,4.2,Small Business,Technology,7160,Small Box,0.59
High,25,136.77,Regular Air,5.4,7.78,Corporate,Office Supplies,3M Organizer Strips,Small Box,0.37
Not Specified,24,188.73,Regular Air,7.64,5.83,Home Office,Office Supplies,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.36
High,43,412.62,Regular Air,9.9,1.39,Consumer,Office Supplies,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37
High,49,10123.02,Delivery Truck,208.16,68.02,Consumer,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58
High,27,244.57,Regular Air,8.69,2.99,Consumer,Office Supplies,"Cardinal Slant-D¢ç Ring Binder, Heavy Gauge Vinyl",Small Box,0.39
Medium,35,6375.28,Regular Air,193.17,19.99,Home Office,Office Supplies,Fellowes Staxonsteel¢ç Drawer Files,Small Box,0.71
Critical,20,2634.8555,Regular Air,155.99,8.08,Corporate,Technology,I888 World Phone,Small Box,0.6
Critical,46,281,Regular Air,6.48,10.05,Corporate,Office Supplies,Xerox 1997,Small Box,0.37
Critical,20,108.09,Regular Air,5.68,1.39,Small Business,Office Supplies,Staples Standard Envelopes,Small Box,0.38
Critical,2,55.34,Regular Air,22.84,11.54,Small Business,Office Supplies,Xerox 1964,Small Box,0.39
Critical,25,3872.634,Regular Air,179.99,13.99,Small Business,Technology,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.57
Low,9,884.1275,Regular Air,115.99,4.23,Corporate,Technology,282,Small Box,0.56
High,34,218.27,Regular Air,5.99,4.92,Consumer,Office Supplies,"DXL¢â Angle-View Binders with Locking Rings, Black",Small Box,0.38
High,17,100.95,Regular Air,5.81,3.37,Consumer,Office Supplies,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54
Low,21,46.94,Regular Air,2.21,1,Home Office,Office Supplies,"Quartet Alpha¢ç White Chalk, 12/Pack",Wrap Bag,0.38
Low,16,1239.6315,Regular Air,85.99,0.99,Small Business,Technology,Accessory4,Wrap Bag,0.85
High,33,1640.9,Delivery Truck,48.58,54.11,Corporate,Furniture,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.69
High,33,1235.87,Regular Air,39.48,1.99,Corporate,Technology,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54
Medium,30,3659.66,Delivery Truck,124.49,51.94,Corporate,Furniture,Bevis 36 x 72 Conference Tables,Jumbo Box,0.63
Low,50,7666.04,Delivery Truck,146.05,80.2,Corporate,Furniture,BPI Conference Tables,Jumbo Box,0.71
High,4,14.96,Regular Air,3.69,0.5,Corporate,Office Supplies,Avery 501,Small Box,0.38
High,4,15.69,Regular Air,3.85,0.7,Corporate,Office Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,0.44
Not Specified,46,517.93,Regular Air,11.7,6.96,Home Office,Office Supplies,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5
Low,20,1156.6715,Express Air,65.99,7.69,Consumer,Technology,5190,Small Box,0.59
Medium,39,15260.78,Delivery Truck,500.98,28.14,Small Business,Technology,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,0.38
Medium,3,540.41,Regular Air,178.47,19.99,Small Business,Office Supplies,"Hot File¢ç 7-Pocket, Floor Stand",Small Box,0.55
Not Specified,8,43.29,Regular Air,4.98,4.86,Small Business,Office Supplies,Xerox 190,Small Box,0.38
Not Specified,6,41.7,Regular Air,5.78,5.37,Small Business,Office Supplies,Xerox 1950,Small Box,0.36
Medium,22,1162.4005,Regular Air,65.99,19.99,Corporate,Technology,iDENi80s,Small Box,0.59
High,45,356.7,Regular Air,7.38,5.21,Corporate,Furniture,"Eldon¢ç Expressions¢â Wood Desk Accessories, Oak",Small Box,0.56
Not Specified,29,1000.78,Express Air,34.58,8.99,Consumer,Office Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.56
Not Specified,35,543.72,Regular Air,15.7,11.25,Consumer,Office Supplies,Hanging Personal Folder File,Small Box,0.6
Low,42,234.2,Regular Air,6.08,1.82,Small Business,Office Supplies,Staples Bulk Pack Metal Binder Clips,Wrap Bag,0.35
High,44,4509.3775,Regular Air,115.99,5.26,Home Office,Technology,636,Small Box,0.57
High,30,4965.7595,Regular Air,195.99,3.99,Corporate,Technology,R380,Small Box,0.58
Critical,19,210.4,Regular Air,10.89,4.5,Corporate,Office Supplies,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59
Low,6,1309.53,Regular Air,218.08,18.06,Home Office,Furniture,"Lifetime Advantage¢â Folding Chairs, 4/Carton",Large Box,0.57
Low,48,806.37,Express Air,15.42,10.68,Home Office,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58
High,33,5437.92,Delivery Truck,150.89,60.2,Home Office,Furniture,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,0.77
Not Specified,19,394.27,Regular Air,21.78,5.94,Consumer,Office Supplies,Holmes HEPA Air Purifier,Medium Box,0.5
Not Specified,21,146.69,Regular Air,6.64,4.95,Consumer,Furniture,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37
Critical,41,129.49,Regular Air,3.08,0.99,Home Office,Office Supplies,Avery 481,Small Box,0.37
Critical,29,202.95,Regular Air,6.48,5.9,Home Office,Office Supplies,Xerox 1976,Small Box,0.37
Critical,26,2753.1925,Regular Air,125.99,4.2,Home Office,Technology,V3682,Small Box,0.59
Critical,13,70.24,Regular Air,4.98,7.44,Consumer,Office Supplies,Xerox 1922,Small Box,0.36
Critical,5,40.75,Regular Air,6.48,8.74,Consumer,Office Supplies,Xerox 1984,Small Box,0.36
Critical,30,1150.88,Express Air,38.94,35,Consumer,Office Supplies,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8
Critical,38,283.65,Express Air,6.68,5.41,Home Office,Office Supplies,Xerox 195,Small Box,0.37
Critical,47,840.04,Regular Air,17.7,9.47,Home Office,Office Supplies,Portfile¢ç Personal File Boxes,Small Box,0.59
Medium,50,262.87,Regular Air,5.28,6.26,Corporate,Office Supplies,Xerox 1928,Small Box,0.4
Medium,43,2531.0875,Regular Air,65.99,2.5,Corporate,Technology,6190,Small Box,0.55
High,12,93.54,Regular Air,7.3,7.72,Corporate,Office Supplies,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38
High,22,905.08,Regular Air,42.76,6.22,Corporate,Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,
High,41,628.22,Regular Air,14.34,5,Corporate,Furniture,Nu-Dell Leatherette Frames,Small Pack,0.49
High,24,3366.1,Delivery Truck,138.75,52.42,Corporate,Furniture,Balt Split Level Computer Training Table,Jumbo Box,0.74
High,39,4913.69,Delivery Truck,120.98,58.64,Consumer,Furniture,O'Sullivan Living Dimensions 2-Shelf Bookcases,Jumbo Box,0.75
High,24,464.77,Regular Air,18.97,9.54,Consumer,Office Supplies,Xerox 1939,Small Box,0.37
High,21,2781.82,Express Air,138.14,35,Corporate,Office Supplies,"SAFCO Commercial Wire Shelving, Black",Large Box,
Critical,5,1679.58,Delivery Truck,320.98,58.95,Corporate,Furniture,Hon 4070 Series Pagoda¢â Round Back Stacking Chairs,Jumbo Drum,0.57
High,42,557.85,Regular Air,12.95,4.98,Consumer,Office Supplies,GBC Binding covers,Small Box,0.4
High,18,173.2,Regular Air,9.31,3.98,Small Business,Office Supplies,Acme¢ç Forged Steel Scissors with Black Enamel Handles,Small Pack,0.56
Low,44,228.41,Regular Air,4.98,8.33,Home Office,Office Supplies,Xerox 198,Small Box,0.38
Critical,42,75.14,Regular Air,1.76,0.7,Consumer,Office Supplies,Newell 326,Wrap Bag,0.56
Low,42,161.77,Regular Air,3.58,5.47,Corporate,Office Supplies,Avery Poly Binder Pockets,Small Box,0.37
Low,11,447.09,Regular Air,41.32,8.66,Corporate,Furniture,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,0.76
Low,29,4192.88,Delivery Truck,145.45,17.85,Corporate,Technology,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56
Not Specified,7,560.51,Regular Air,80.98,4.5,Corporate,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Small Box,0.59
Not Specified,31,189.95,Regular Air,6.48,5.14,Corporate,Office Supplies,Xerox 23,Small Box,0.37
Medium,6,28.01,Regular Air,4.98,0.49,Corporate,Office Supplies,Avery White Multi-Purpose Labels,Small Box,0.39
Medium,37,4261.94,Delivery Truck,115.99,56.14,Consumer,Technology,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4
Critical,18,88.84,Regular Air,4.98,4.72,Home Office,Office Supplies,Xerox 1949,Small Box,0.36
High,35,589.24,Regular Air,17.52,8.17,Consumer,Office Supplies,Bionaire 99.97% HEPA Air Cleaner,Medium Box,0.5
High,25,233.05,Regular Air,9.9,1.39,Consumer,Office Supplies,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37
Medium,38,2071.3395,Regular Air,65.99,8.99,Home Office,Technology,Talkabout T8367,Small Box,0.56
Critical,17,126.57,Regular Air,4.48,49,Small Business,Office Supplies,Hoover Portapower¢â Portable Vacuum,Large Box,0.6
Critical,35,43.57,Regular Air,1.26,0.7,Small Business,Office Supplies,Bagged Rubber Bands,Wrap Bag,0.81
Critical,8,31.87,Regular Air,4.26,1.2,Small Business,Office Supplies,"Dixon Prang¢ç Watercolor Pencils, 10-Color Set with Brush",Wrap Bag,0.44
Critical,20,59.85,Regular Air,2.74,3.5,Corporate,Office Supplies,Rogers Handheld Barrel Pencil Sharpener,Small Pack,0.58
Critical,33,378.6,Regular Air,11.7,5.63,Corporate,Office Supplies,Fellowes Binding Cases,Small Box,0.4
Critical,2,38.5,Regular Air,15.99,9.4,Corporate,Technology,"AT&T Black Trimline Phone, Model 210",Small Box,0.49
Not Specified,39,197.56,Regular Air,4.97,5.71,Small Business,Furniture,"DAX Value U-Channel Document Frames, Easel Back",Medium Box,0.54
Medium,45,196.85,Regular Air,4.28,6.18,Home Office,Office Supplies,Xerox 1980,Small Box,0.4
Medium,32,124.56,Regular Air,3.95,2,Home Office,Office Supplies,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53
Low,7,53.46,Regular Air,6.48,5.9,Corporate,Office Supplies,Xerox 1976,Small Box,0.37
Medium,1,19.32,Regular Air,12.53,7.17,Home Office,Office Supplies,GBC ProClick Spines for 32-Hole Punch,Small Box,0.38
Medium,15,1813.04,Delivery Truck,115.99,56.14,Home Office,Technology,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4
Not Specified,18,125.16,Regular Air,6.48,5.14,Small Business,Office Supplies,Xerox 23,Small Box,0.37
Not Specified,11,65.7,Regular Air,5.84,0.83,Corporate,Office Supplies,Avery Hi-Liter¢ç Smear-Safe Highlighters,Wrap Bag,0.49
Not Specified,32,716.84,Regular Air,21.78,5.94,Home Office,Office Supplies,Holmes HEPA Air Purifier,Medium Box,0.5
Not Specified,31,1474.33,Regular Air,47.98,3.61,Home Office,Technology,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71
Not Specified,23,1661.04,Regular Air,70.97,3.5,Corporate,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Small Box,0.59
Low,17,104.94,Regular Air,6.24,5.22,Home Office,Furniture,Eldon Expressions Mahogany Wood Desk Collection,Small Box,0.6
Critical,50,1246.52,Regular Air,24.92,12.98,Home Office,Office Supplies,GBC Standard Therm-A-Bind Covers,Small Box,0.39
High,40,676.13,Regular Air,15.98,6.5,Consumer,Technology,Logitech Access Keyboard,Small Box,0.48
High,26,7668.55,Delivery Truck,296.18,54.12,Consumer,Furniture,Hon 94000 Series Round Tables,Jumbo Box,0.76
Not Specified,29,1193.65,Regular Air,40.98,2.99,Home Office,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Small Box,0.36
Not Specified,10,1925.83,Regular Air,207.48,0.99,Corporate,Office Supplies,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Small Box,0.55
Low,21,1222.68,Express Air,59.98,3.99,Consumer,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Small Box,0.57
Low,26,390.2,Express Air,14.58,7.4,Consumer,Furniture,DAX Clear Channel Poster Frame,Small Box,0.48
High,21,227.66,Regular Air,10.97,6.5,Corporate,Technology,Micro Innovations 104 Keyboard,Small Box,0.64
High,39,84.33,Regular Air,2.08,2.56,Corporate,Office Supplies,Kleencut¢ç Forged Office Shears by Acme United Corporation,Small Pack,0.55
Critical,22,922.39,Express Air,41.32,58.66,Small Business,Furniture,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,0.76
Critical,11,79.19,Regular Air,6.88,2,Small Business,Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16¡± x 11¡±",Wrap Bag,0.39
Not Specified,15,80.61,Regular Air,5.28,2.99,Small Business,Office Supplies,"Wilson Jones 1"" Hanging DublLock¢ç Ring Binders",Small Box,0.37
Medium,46,605.97,Regular Air,13.73,6.85,Consumer,Furniture,DAX Wood Document Frame.,Wrap Bag,0.54
Low,33,4064.05,Regular Air,122.99,19.99,Small Business,Office Supplies,GBC Therma-A-Bind 250T Electric Binding System,Small Box,0.37
Low,47,3213.87,Delivery Truck,68.81,60,Small Business,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Jumbo Drum,0.41
Medium,50,315.02,Regular Air,5.98,1.49,Corporate,Office Supplies,Avery Hanging File Binders,Small Box,0.39
Medium,4,40.02,Regular Air,9.93,1.09,Corporate,Office Supplies,Peel-Off¢ç China Markers,Wrap Bag,0.43
Low,42,11230.25,Delivery Truck,280.98,35.67,Corporate,Furniture,Global Adaptabilities¢â Conference Tables,Jumbo Box,0.66
Medium,6,90.56,Regular Air,13.99,7.51,Consumer,Technology,Sharp EL500L Fraction Calculator,Medium Box,0.39
Medium,42,1634.9,Regular Air,37.74,2.9,Consumer,Office Supplies,Panasonic KP-150 Electric Pencil Sharpener,Small Pack,0.59
Medium,48,11278.18,Delivery Truck,227.55,32.48,Consumer,Furniture,Hon Rectangular Conference Tables,Jumbo Box,0.68
Low,38,132.07,Regular Air,3.58,1.63,Corporate,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",Wrap Bag,0.36
Medium,46,1815.49,Regular Air,39.89,3.04,Home Office,Furniture,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53
Not Specified,16,248.26,Regular Air,15.74,1.39,Small Business,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4
Low,6,583.64,Regular Air,95.43,19.99,Home Office,Office Supplies,Fellowes Stor/Drawer¢ç Steel Plus¢â Storage Drawers,Small Box,0.79
Medium,19,1406.15,Delivery Truck,70.98,46.74,Home Office,Furniture,"Hon Metal Bookcases, Putty",Jumbo Box,0.56
High,6,165.75,Regular Air,28.48,1.99,Consumer,Technology,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4
High,11,2021.147,Regular Air,205.99,5.99,Consumer,Technology,3285,Small Box,0.59
Medium,34,226.1,Regular Air,6.37,5.19,Consumer,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Small Box,0.38
Critical,41,341.36,Regular Air,8.46,3.62,Corporate,Technology,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Small Pack,0.61
Medium,3,469.438,Regular Air,195.99,8.99,Small Business,Technology,T28 WORLD,Small Box,0.6
Critical,22,127.33,Regular Air,5.34,2.99,Corporate,Office Supplies,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Small Box,0.38
Critical,24,990.1,Regular Air,40.98,7.47,Corporate,Office Supplies,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Small Box,0.37
Medium,30,1187.55,Regular Air,37.7,2.99,Corporate,Office Supplies,Vinyl Sectional Post Binders,Small Box,0.35
Low,13,269.02,Regular Air,20.97,6.5,Consumer,Technology,Microsoft Internet Keyboard,Small Box,0.78
Medium,28,142.18,Regular Air,4.98,4.72,Consumer,Office Supplies,Xerox 1949,Small Box,0.36
Not Specified,48,5340.5,Regular Air,110.98,13.99,Consumer,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Medium Box,0.69
Critical,44,4462.23,Delivery Truck,100.98,26.22,Home Office,Furniture,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6
Critical,11,663.784,Regular Air,71.37,69,Home Office,Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68
Critical,23,115.1,Regular Air,4.91,0.5,Home Office,Office Supplies,Avery 493,Small Box,0.36
Critical,7,516.65,Express Air,70.97,3.5,Home Office,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Small Box,0.59
Low,7,374.78,Regular Air,55.48,14.3,Home Office,Office Supplies,Xerox 194,Small Box,0.37
Medium,14,222.91,Regular Air,15.98,4,Corporate,Technology,Logitech Access Keyboard,Small Box,0.37
Critical,27,129.1,Regular Air,4.42,4.99,Small Business,Office Supplies,Grip Seal Envelopes,Small Box,0.38
Medium,35,3532.96,Delivery Truck,100.8,60,Home Office,Furniture,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Jumbo Drum,0.59
Not Specified,25,662.16,Regular Air,28.48,1.99,Corporate,Technology,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4
Not Specified,3,46.46,Regular Air,14.42,6.75,Corporate,Office Supplies,Holmes Odor Grabber,Medium Box,0.52
Not Specified,1,14.68,Regular Air,8.6,6.19,Corporate,Office Supplies,Avery Printable Repositionable Plastic Tabs,Small Box,0.38
Not Specified,11,10145.14,Regular Air,896.99,19.99,Corporate,Office Supplies,GBC DocuBind TL300 Electric Binding System,Small Box,0.38
Not Specified,16,68.45,Regular Air,4.24,5.41,Corporate,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,Small Box,0.35
Medium,48,257.39,Regular Air,5.28,5.57,Home Office,Office Supplies,Xerox 1981,Small Box,0.4
Critical,15,494.34,Regular Air,31.98,6.72,Consumer,Office Supplies,Fellowes Bankers Box¢â Stor/Drawer¢ç Steel Plus¢â,Small Box,0.75
Low,40,827.27,Regular Air,20.97,6.5,Corporate,Technology,Microsoft Internet Keyboard,Small Box,0.78
Not Specified,26,892.38,Regular Air,31.78,1.99,Home Office,Technology,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42
Not Specified,10,29.41,Regular Air,2.78,1.34,Home Office,Office Supplies,Prang Drawing Pencil Set,Wrap Bag,0.45
Critical,27,3874.12,Delivery Truck,130.98,54.74,Corporate,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69
Critical,8,1452.216,Delivery Truck,218.75,69.64,Corporate,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,0.77
Not Specified,46,234.37,Regular Air,5.18,5.74,Home Office,Office Supplies,Wilson Jones Impact Binders,Small Box,0.36
Not Specified,14,1000.3565,Regular Air,85.99,3.3,Home Office,Technology,Accessory20,Small Pack,0.37
High,39,3908.65,Regular Air,105.29,10.12,Corporate,Furniture,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Large Box,0.79
Critical,34,840.07,Regular Air,22.84,16.92,Home Office,Office Supplies,Xerox 1973,Small Box,0.39
Medium,4,42.58,Regular Air,9.27,4.39,Corporate,Office Supplies,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Wrap Bag,0.38
High,44,523.42,Regular Air,11.7,5.63,Consumer,Office Supplies,Fellowes Binding Cases,Small Box,0.4
High,40,192.54,Regular Air,4.98,7.44,Consumer,Office Supplies,Xerox 1922,Small Box,0.36
High,29,156.7,Regular Air,5.28,5.57,Consumer,Office Supplies,Xerox 1981,Small Box,0.4
Low,15,834.904,Regular Air,65.99,5.26,Corporate,Technology,g520,Small Box,0.59
Low,18,2480.9205,Regular Air,155.99,8.99,Corporate,Technology,LX 788,Small Box,0.58
Low,24,2443.85,Delivery Truck,100.98,35.84,Corporate,Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",Jumbo Box,0.62
High,48,4789.89,Delivery Truck,100.98,26.22,Corporate,Furniture,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6
Low,5,89.335,Regular Air,20.99,2.5,Home Office,Technology,Accessory37,Wrap Bag,0.81
Low,39,158.46,Regular Air,3.98,5.26,Home Office,Office Supplies,Ibico Presentation Index for Binding Systems,Small Box,0.38
Low,31,7180.83,Delivery Truck,220.98,64.66,Home Office,Furniture,"Bush Cubix Collection Bookcases, Fully Assembled",Jumbo Box,0.62
High,43,17129.97,Regular Air,415.88,11.37,Consumer,Office Supplies,Deluxe Rollaway Locking File with Drawer,Small Box,0.57
High,39,5748.2,Delivery Truck,160.98,35.02,Small Business,Furniture,Rush Hierlooms Collection Rich Wood Bookcases,Jumbo Box,0.72
High,47,6717.9325,Regular Air,175.99,4.99,Small Business,Technology,5165,Small Box,0.59
Not Specified,13,59.03,Express Air,3.69,0.5,Consumer,Office Supplies,Avery 52,Small Box,0.38
Not Specified,21,97.48,Regular Air,4.71,0.7,Consumer,Office Supplies,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8
Critical,44,4530.96,Delivery Truck,105.49,41.64,Small Business,Furniture,Balt Solid Wood Rectangular Table,Jumbo Box,0.75
Low,41,726.22,Regular Air,17.67,8.99,Small Business,Furniture,"Executive Impressions 12"" Wall Clock",Small Pack,0.47
