case,time,season,holiday,working,weather,temp,atemp,humidity,windspeed,casual,registered,total
40,2011-01-02 16:00,spring,No,No,weak rain snow,13.94,16.665,71,11.0014,9,67,76
41,2011-01-02 17:00,spring,No,No,sunny,13.94,16.665,57,12.998,7,58,65
42,2011-01-02 18:00,spring,No,No,cloudy,14.76,16.665,46,22.0028,10,43,53
43,2011-01-02 19:00,spring,No,No,sunny,13.12,14.395,42,30.0026,1,29,30
44,2011-01-02 20:00,spring,No,No,sunny,12.3,13.635,39,23.9994,5,17,22
45,2011-01-02 21:00,spring,No,No,sunny,10.66,11.365,44,22.0028,11,20,31
46,2011-01-02 22:00,spring,No,No,sunny,9.84,10.605,44,19.9995,0,9,9
47,2011-01-02 23:00,spring,No,No,sunny,9.02,11.365,47,11.0014,0,8,8
48,2011-01-03 0:00,spring,No,Yes,sunny,9.02,9.85,44,23.9994,0,5,5
49,2011-01-03 1:00,spring,No,Yes,sunny,8.2,8.335,44,27.9993,0,2,2
50,2011-01-03 4:00,spring,No,Yes,sunny,6.56,6.82,47,26.0027,0,1,1
51,2011-01-03 5:00,spring,No,Yes,sunny,6.56,6.82,47,19.0012,0,3,3
52,2011-01-03 6:00,spring,No,Yes,sunny,5.74,5.305,50,26.0027,0,30,30
53,2011-01-03 7:00,spring,No,Yes,sunny,5.74,6.82,50,12.998,1,63,64
54,2011-01-03 8:00,spring,No,Yes,sunny,5.74,6.06,50,19.0012,1,153,154
55,2011-01-03 9:00,spring,No,Yes,sunny,6.56,6.82,43,26.0027,7,81,88
56,2011-01-03 10:00,spring,No,Yes,sunny,7.38,8.335,43,16.9979,11,33,44
57,2011-01-03 11:00,spring,No,Yes,sunny,8.2,9.09,40,22.0028,10,41,51
58,2011-01-03 12:00,spring,No,Yes,sunny,9.02,10.605,35,19.9995,13,48,61
59,2011-01-03 13:00,spring,No,Yes,sunny,9.84,10.605,35,19.0012,8,53,61
60,2011-01-03 14:00,spring,No,Yes,sunny,10.66,12.12,30,19.0012,11,66,77
61,2011-01-03 15:00,spring,No,Yes,sunny,10.66,12.12,30,16.9979,14,58,72
62,2011-01-03 16:00,spring,No,Yes,sunny,10.66,12.12,30,16.9979,9,67,76
63,2011-01-03 17:00,spring,No,Yes,sunny,9.84,11.365,30,15.0013,11,146,157
64,2011-01-03 18:00,spring,No,Yes,sunny,9.84,12.88,32,7.0015,9,148,157
65,2011-01-03 19:00,spring,No,Yes,sunny,8.2,12.88,47,0,8,102,110
66,2011-01-03 20:00,spring,No,Yes,sunny,8.2,11.365,47,7.0015,3,49,52
67,2011-01-03 21:00,spring,No,Yes,sunny,7.38,9.85,,8.9981,3,49,52
68,2011-01-03 22:00,spring,No,Yes,sunny,5.74,7.575,69,8.9981,0,20,20
69,2011-01-03 23:00,spring,No,Yes,sunny,7.38,10.605,55,7.0015,1,11,12
70,2011-01-04 0:00,spring,No,Yes,sunny,6.56,9.09,55,7.0015,0,5,5
71,2011-01-04 1:00,spring,No,Yes,sunny,6.56,9.09,59,7.0015,0,2,2
72,2011-01-04 2:00,spring,No,Yes,sunny,5.74,7.575,63,8.9981,0,1,1
73,2011-01-04 4:00,spring,No,Yes,sunny,5.74,9.09,63,6.0032,0,2,2
74,2011-01-04 5:00,spring,No,Yes,sunny,4.92,7.575,68,7.0015,0,4,4
75,2011-01-04 6:00,spring,No,Yes,sunny,4.92,7.575,74,7.0015,0,36,36
76,2011-01-04 7:00,spring,No,Yes,sunny,4.92,7.575,74,8.9981,2,92,94
77,2011-01-04 8:00,spring,No,Yes,sunny,5.74,7.575,69,11.0014,2,177,179
78,2011-01-04 9:00,spring,No,Yes,sunny,6.56,7.575,64,15.0013,2,98,100
79,2011-01-04 10:00,spring,No,Yes,cloudy,6.56,6.82,69,22.0028,5,37,42
80,2011-01-04 11:00,spring,No,Yes,sunny,9.02,10.605,51,19.9995,7,50,57
81,2011-01-04 12:00,spring,No,Yes,sunny,9.02,11.365,51,11.0014,12,66,78
82,2011-01-04 13:00,spring,No,Yes,sunny,9.84,11.365,56,12.998,18,79,97
83,2011-01-04 14:00,spring,No,Yes,sunny,10.66,12.88,52,15.0013,9,54,63
84,2011-01-04 15:00,spring,No,Yes,sunny,11.48,13.635,52,16.9979,17,48,65
85,2011-01-04 16:00,spring,No,Yes,sunny,12.3,14.395,49,16.9979,15,68,83
86,2011-01-04 17:00,spring,No,Yes,sunny,11.48,13.635,48,15.0013,10,202,212
87,2011-01-04 18:00,spring,No,Yes,sunny,10.66,12.88,48,12.998,3,179,182
88,2011-01-04 19:00,spring,No,Yes,sunny,9.84,12.88,48,7.0015,2,110,112
89,2011-01-04 20:00,spring,No,Yes,sunny,9.84,12.88,48,7.0015,1,53,54
90,2011-01-04 21:00,spring,No,Yes,sunny,9.02,13.635,64,0,0,48,48
91,2011-01-04 22:00,spring,No,Yes,sunny,9.02,12.88,64,6.0032,1,34,35
92,2011-01-04 23:00,spring,No,Yes,sunny,8.2,11.365,69,6.0032,2,9,11
93,2011-01-05 0:00,spring,No,Yes,sunny,8.2,12.88,64,0,0,6,6
94,2011-01-05 1:00,spring,No,Yes,sunny,6.56,9.85,74,6.0032,0,6,6
95,2011-01-05 2:00,spring,No,Yes,sunny,6.56,9.85,74,6.0032,0,2,2
96,2011-01-05 4:00,spring,No,Yes,sunny,9.84,11.365,48,15.0013,0,2,2
97,2011-01-05 5:00,spring,No,Yes,sunny,9.02,11.365,47,11.0014,0,3,3
98,2011-01-05 6:00,spring,No,Yes,sunny,8.2,9.85,47,15.0013,0,33,33
99,2011-01-05 7:00,spring,No,Yes,sunny,7.38,9.09,43,12.998,1,87,88
100,2011-01-05 8:00,spring,No,Yes,sunny,8.2,9.09,40,19.9995,3,192,195
101,2011-01-05 9:00,spring,No,Yes,sunny,9.02,9.85,37,22.0028,6,109,115
102,2011-01-05 10:00,spring,No,Yes,sunny,9.02,9.85,37,22.0028,4,53,57
103,2011-01-05 11:00,spring,No,Yes,sunny,10.66,11.365,33,22.0028,12,34,46
104,2011-01-05 12:00,spring,No,Yes,sunny,10.66,11.365,33,22.0028,5,74,79
105,2011-01-05 13:00,spring,No,Yes,sunny,11.48,12.88,30,19.9995,6,65,71
106,2011-01-05 14:00,spring,No,Yes,sunny,12.3,14.395,28,12.998,10,52,62
107,2011-01-05 15:00,spring,No,Yes,sunny,12.3,14.395,28,12.998,7,55,62
108,2011-01-05 16:00,spring,No,Yes,sunny,12.3,15.91,28,6.0032,4,85,89
109,2011-01-05 17:00,spring,No,Yes,sunny,9.84,11.365,38,12.998,4,186,190
110,2011-01-05 18:00,spring,No,Yes,sunny,9.84,12.12,38,8.9981,3,166,169
111,2011-01-05 19:00,spring,No,Yes,sunny,9.84,12.88,38,7.0015,5,127,132
112,2011-01-05 20:00,spring,No,Yes,sunny,9.02,11.365,47,11.0014,7,82,89
113,2011-01-05 21:00,spring,No,Yes,sunny,8.2,9.85,51,12.998,3,40,43
114,2011-01-05 22:00,spring,No,Yes,sunny,7.38,9.85,55,8.9981,1,41,42
115,2011-01-05 23:00,spring,No,Yes,sunny,8.2,12.88,47,0,1,18,19
116,2011-01-06 0:00,spring,No,Yes,sunny,7.38,12.12,55,0,0,11,11
117,2011-01-06 1:00,spring,No,Yes,sunny,6.56,11.365,64,0,0,4,4
118,2011-01-06 2:00,spring,No,Yes,sunny,6.56,11.365,64,0,0,2,2
119,2011-01-06 4:00,spring,No,Yes,cloudy,6.56,9.85,64,6.0032,0,1,1
120,2011-01-06 5:00,spring,No,Yes,cloudy,5.74,9.09,69,6.0032,0,4,4
121,2011-01-06 6:00,spring,No,Yes,cloudy,5.74,8.335,63,7.0015,0,36,36
122,2011-01-06 7:00,spring,No,Yes,cloudy,6.56,11.365,59,0,0,95,95
123,2011-01-06 8:00,spring,No,Yes,sunny,6.56,11.365,59,0,3,216,219
124,2011-01-06 9:00,spring,No,Yes,cloudy,7.38,12.12,51,0,6,116,122
125,2011-01-06 10:00,spring,No,Yes,sunny,8.2,12.88,47,0,3,42,45
126,2011-01-06 11:00,spring,No,Yes,sunny,9.02,12.88,44,6.0032,2,57,59
127,2011-01-06 12:00,spring,No,Yes,sunny,10.66,14.395,35,0,6,78,84
128,2011-01-06 13:00,spring,No,Yes,sunny,10.66,13.635,35,7.0015,12,55,67
129,2011-01-06 14:00,spring,No,Yes,sunny,11.48,13.635,36,11.0014,11,59,70
130,2011-01-06 15:00,spring,No,Yes,sunny,11.48,13.635,36,0,8,54,62
131,2011-01-06 16:00,spring,No,Yes,sunny,10.66,12.88,38,11.0014,12,74,86
132,2011-01-06 17:00,spring,No,Yes,sunny,9.02,11.365,51,11.0014,9,163,172
133,2011-01-06 18:00,spring,No,Yes,sunny,9.02,11.365,51,8.9981,5,158,163
134,2011-01-06 19:00,spring,No,Yes,sunny,9.02,12.88,55,6.0032,3,109,112
135,2011-01-06 20:00,spring,No,Yes,sunny,8.2,10.605,51,11.0014,3,66,69
136,2011-01-06 21:00,spring,No,Yes,cloudy,9.02,10.605,55,15.0013,0,48,48
137,2011-01-06 22:00,spring,No,Yes,cloudy,9.02,10.605,51,19.0012,1,51,52
138,2011-01-06 23:00,spring,No,Yes,cloudy,8.2,9.85,59,12.998,4,19,23
139,2011-01-07 0:00,spring,No,Yes,cloudy,8.2,9.85,64,12.998,4,13,17
140,2011-01-07 1:00,spring,No,Yes,cloudy,8.2,9.85,69,15.0013,2,5,7
141,2011-01-07 2:00,spring,No,Yes,cloudy,8.2,9.85,69,15.0013,0,1,1
142,2011-01-07 4:00,spring,No,Yes,cloudy,8.2,10.605,69,8.9981,0,1,1
143,2011-01-07 5:00,spring,No,Yes,weak rain snow,9.02,13.635,55,0,0,5,5
144,2011-01-07 6:00,spring,No,Yes,cloudy,8.2,12.88,69,0,8,26,34
145,2011-01-07 7:00,spring,No,Yes,sunny,8.2,10.605,69,8.9981,8,76,84
146,2011-01-07 8:00,spring,No,Yes,sunny,8.2,9.85,51,16.9979,20,190,210
147,2011-01-07 9:00,spring,No,Yes,sunny,8.2,9.09,47,19.9995,9,125,134
148,2011-01-07 10:00,spring,No,Yes,sunny,9.02,9.85,37,22.0028,16,47,63
149,2011-01-07 11:00,spring,No,Yes,cloudy,8.2,9.85,40,15.0013,19,48,67
150,2011-01-07 12:00,spring,No,Yes,cloudy,8.2,9.85,37,16.9979,9,50,59
151,2011-01-07 13:00,spring,No,Yes,cloudy,8.2,9.09,37,19.0012,9,64,73
152,2011-01-07 14:00,spring,No,Yes,cloudy,8.2,9.85,40,16.9979,7,43,50
153,2011-01-07 15:00,spring,No,Yes,cloudy,8.2,10.605,37,11.0014,9,63,72
154,2011-01-07 16:00,spring,No,Yes,cloudy,8.2,10.605,37,11.0014,5,82,87
155,2011-01-07 17:00,spring,No,Yes,cloudy,8.2,12.88,37,0,9,178,187
156,2011-01-07 18:00,spring,No,Yes,sunny,8.2,11.365,40,6.0032,7,116,123
157,2011-01-07 19:00,spring,No,Yes,sunny,6.56,9.85,55,6.0032,3,92,95
158,2011-01-07 20:00,spring,No,Yes,sunny,7.38,10.605,47,7.0015,1,50,51
159,2011-01-07 21:00,spring,No,Yes,sunny,7.38,9.85,47,8.9981,0,39,39
160,2011-01-07 22:00,spring,No,Yes,cloudy,7.38,9.85,43,11.0014,2,34,36
161,2011-01-07 23:00,spring,No,Yes,cloudy,7.38,9.85,51,11.0014,1,14,15
162,2011-01-08 0:00,spring,No,No,cloudy,7.38,9.85,51,11.0014,1,24,25
163,2011-01-08 1:00,spring,No,No,cloudy,7.38,10.605,55,6.0032,1,15,16
164,2011-01-08 2:00,spring,No,No,cloudy,7.38,12.12,55,0,3,13,16
165,2011-01-08 3:00,spring,No,No,weak rain snow,7.38,9.85,55,11.0014,0,7,7
166,2011-01-08 4:00,spring,No,No,weak rain snow,7.38,9.85,55,11.0014,0,1,1
167,2011-01-08 5:00,spring,No,No,cloudy,6.56,8.335,74,11.0014,0,5,5
168,2011-01-08 6:00,spring,No,No,cloudy,6.56,8.335,74,11.0014,0,2,2
169,2011-01-08 7:00,spring,No,No,cloudy,6.56,9.09,74,7.0015,1,8,9
170,2011-01-08 8:00,spring,No,No,weak rain snow,6.56,9.09,93,7.0015,0,15,15
171,2011-01-08 9:00,spring,No,No,weak rain snow,6.56,9.09,93,7.0015,0,20,20
172,2011-01-08 10:00,spring,No,No,cloudy,7.38,9.85,80,11.0014,5,56,61
173,2011-01-08 11:00,spring,No,No,cloudy,8.2,9.09,69,26.0027,2,60,62
174,2011-01-08 12:00,spring,No,No,cloudy,8.2,9.09,59,23.9994,8,90,98
175,2011-01-08 13:00,spring,No,No,sunny,8.2,9.09,44,22.0028,7,95,102
176,2011-01-08 14:00,spring,No,No,sunny,8.2,8.335,32,32.9975,12,83,95
177,2011-01-08 15:00,spring,No,No,sunny,8.2,8.335,32,30.0026,5,69,74
178,2011-01-08 16:00,spring,No,No,sunny,7.38,6.82,29,30.0026,8,68,76
179,2011-01-08 17:00,spring,No,No,sunny,6.56,6.06,37,36.9974,5,64,69
180,2011-01-08 18:00,spring,No,No,sunny,5.74,6.06,39,19.9995,3,52,55
181,2011-01-08 19:00,spring,No,No,sunny,5.74,6.06,36,16.9979,4,26,30
182,2011-01-08 20:00,spring,No,No,sunny,4.92,6.06,36,16.9979,0,28,28
183,2011-01-08 21:00,spring,No,No,sunny,4.92,5.305,39,23.9994,2,35,37
184,2011-01-08 22:00,spring,No,No,sunny,4.92,5.305,36,26.0027,1,33,34
185,2011-01-08 23:00,spring,No,No,sunny,4.1,3.03,39,30.0026,0,22,22
186,2011-01-09 0:00,spring,No,No,sunny,4.1,3.79,42,26.0027,1,24,25
187,2011-01-09 1:00,spring,No,No,sunny,4.1,3.03,42,31.0009,0,12,12
188,2011-01-09 2:00,spring,No,No,sunny,4.1,3.03,46,31.0009,0,11,11
189,2011-01-09 3:00,spring,No,No,sunny,4.1,3.79,46,27.9993,0,4,4
190,2011-01-09 4:00,spring,No,No,sunny,3.28,4.545,53,12.998,0,1,1
191,2011-01-09 5:00,spring,No,No,sunny,3.28,4.545,53,12.998,0,1,1
192,2011-01-09 6:00,spring,No,No,sunny,4.1,4.545,49,19.0012,0,1,1
193,2011-01-09 7:00,spring,No,No,sunny,3.28,4.545,53,12.998,1,5,6
194,2011-01-09 8:00,spring,No,No,sunny,4.1,4.545,49,19.0012,0,10,10
195,2011-01-09 9:00,spring,No,No,sunny,4.92,3.79,46,35.0008,0,19,19
196,2011-01-09 10:00,spring,No,No,sunny,5.74,5.305,43,26.0027,0,49,49
197,2011-01-09 11:00,spring,No,No,sunny,6.56,6.06,40,35.0008,2,47,49
198,2011-01-09 12:00,spring,No,No,sunny,7.38,6.82,37,30.0026,4,79,83
199,2011-01-09 13:00,spring,No,No,sunny,8.2,8.335,34,30.0026,6,69,75
200,2011-01-09 14:00,spring,No,No,sunny,9.02,9.09,32,31.0009,8,64,72
201,2011-01-09 15:00,spring,No,No,sunny,9.02,9.85,35,23.9994,5,77,82
202,2011-01-09 16:00,spring,No,No,sunny,8.2,8.335,34,30.0026,13,79,92
203,2011-01-09 17:00,spring,No,No,sunny,7.38,7.575,37,26.0027,3,59,62
204,2011-01-09 18:00,spring,No,No,sunny,6.56,6.82,40,22.0028,4,44,48
205,2011-01-09 19:00,spring,No,No,sunny,6.56,6.82,43,22.0028,1,40,41
206,2011-01-09 20:00,spring,No,No,sunny,5.74,6.06,46,16.9979,0,38,38
207,2011-01-09 21:00,spring,No,No,sunny,5.74,5.305,46,27.9993,1,19,20
208,2011-01-09 22:00,spring,No,No,sunny,5.74,6.06,46,19.9995,5,10,15
209,2011-01-09 23:00,spring,No,No,sunny,4.92,6.82,50,12.998,0,6,6
210,2011-01-10 0:00,spring,No,Yes,sunny,4.92,6.06,50,19.0012,2,3,5
211,2011-01-10 1:00,spring,No,Yes,sunny,4.92,6.06,50,19.0012,1,0,1
212,2011-01-10 2:00,spring,No,Yes,sunny,4.92,6.06,50,15.0013,0,3,3
213,2011-01-10 3:00,spring,No,Yes,sunny,4.92,6.06,50,15.0013,0,1,1
214,2011-01-10 4:00,spring,No,Yes,sunny,4.1,6.06,54,8.9981,1,2,3
215,2011-01-10 5:00,spring,No,Yes,sunny,4.1,5.305,54,16.9979,0,3,3
216,2011-01-10 6:00,spring,No,Yes,sunny,4.92,6.06,50,19.0012,0,31,31
217,2011-01-10 7:00,spring,No,Yes,sunny,4.92,6.06,50,15.0013,2,75,77
218,2011-01-10 8:00,spring,No,Yes,cloudy,4.92,6.06,50,19.0012,4,184,188
219,2011-01-10 9:00,spring,No,Yes,cloudy,5.74,6.06,50,16.9979,2,92,94
220,2011-01-10 10:00,spring,No,Yes,cloudy,5.74,6.06,50,19.9995,0,31,31
221,2011-01-10 11:00,spring,No,Yes,cloudy,6.56,6.82,47,19.0012,2,28,30
222,2011-01-10 12:00,spring,No,Yes,cloudy,8.2,9.09,40,19.0012,5,47,52
223,2011-01-10 13:00,spring,No,Yes,cloudy,8.2,9.09,40,19.0012,4,50,54
224,2011-01-10 14:00,spring,No,Yes,cloudy,8.2,9.85,40,15.0013,0,47,47
225,2011-01-10 15:00,spring,No,Yes,cloudy,8.2,9.85,40,15.0013,2,43,45
226,2011-01-10 16:00,spring,No,Yes,sunny,8.2,10.605,40,8.9981,4,70,74
227,2011-01-10 17:00,spring,No,Yes,sunny,8.2,11.365,40,7.0015,4,174,178
228,2011-01-10 18:00,spring,No,Yes,sunny,8.2,9.85,40,15.0013,1,154,155
229,2011-01-10 19:00,spring,No,Yes,sunny,6.56,8.335,47,11.0014,3,92,95
230,2011-01-10 20:00,spring,No,Yes,sunny,6.56,8.335,50,11.0014,1,73,74
231,2011-01-10 21:00,spring,No,Yes,sunny,5.74,6.82,59,12.998,1,37,38
232,2011-01-10 22:00,spring,No,Yes,sunny,5.74,7.575,59,11.0014,2,22,24
233,2011-01-10 23:00,spring,No,Yes,sunny,5.74,7.575,59,11.0014,0,18,18
234,2011-01-11 0:00,spring,No,Yes,sunny,5.74,8.335,59,7.0015,2,10,12
235,2011-01-11 1:00,spring,No,Yes,sunny,5.74,7.575,59,11.0014,0,3,3
236,2011-01-11 2:00,spring,No,Yes,cloudy,6.56,7.575,55,12.998,0,3,3
237,2011-01-11 5:00,spring,No,Yes,cloudy,6.56,9.09,55,8.9981,0,6,6
238,2011-01-11 6:00,spring,No,Yes,cloudy,6.56,9.09,55,8.9981,0,27,27
239,2011-01-11 7:00,spring,No,Yes,cloudy,6.56,11.365,55,0,2,97,99
240,2011-01-11 8:00,spring,No,Yes,cloudy,7.38,10.605,51,6.0032,3,214,217
241,2011-01-11 9:00,spring,No,Yes,cloudy,7.38,9.85,51,11.0014,3,127,130
242,2011-01-11 10:00,spring,No,Yes,cloudy,8.2,10.605,51,11.0014,3,51,54
243,2011-01-11 11:00,spring,No,Yes,cloudy,8.2,10.605,47,8.9981,4,31,35
244,2011-01-11 12:00,spring,No,Yes,cloudy,8.2,11.365,51,7.0015,2,55,57
245,2011-01-11 13:00,spring,No,Yes,cloudy,8.2,11.365,59,6.0032,6,46,52
246,2011-01-11 14:00,spring,No,Yes,cloudy,8.2,11.365,59,6.0032,3,60,63
247,2011-01-11 15:00,spring,No,Yes,cloudy,6.56,9.85,80,6.0032,2,45,47
248,2011-01-11 16:00,spring,No,Yes,cloudy,6.56,7.575,86,15.0013,4,72,76
249,2011-01-11 17:00,spring,No,Yes,cloudy,6.56,7.575,86,15.0013,6,130,136
250,2011-01-11 18:00,spring,No,Yes,weak rain snow,6.56,9.09,93,7.0015,1,94,95
251,2011-01-11 19:00,spring,No,Yes,weak rain snow,6.56,11.365,93,0,0,51,51
252,2011-01-11 20:00,spring,No,Yes,weak rain snow,6.56,7.575,93,12.998,0,32,32
253,2011-01-11 21:00,spring,No,Yes,weak rain snow,6.56,9.85,86,6.0032,0,20,20
254,2011-01-11 22:00,spring,No,Yes,weak rain snow,6.56,9.09,93,7.0015,1,28,29
255,2011-01-11 23:00,spring,No,Yes,weak rain snow,6.56,9.85,93,6.0032,1,18,19
256,2011-01-12 0:00,spring,No,Yes,cloudy,6.56,9.85,86,6.0032,0,7,7
257,2011-01-12 1:00,spring,No,Yes,cloudy,6.56,9.09,86,7.0015,0,6,6
258,2011-01-12 2:00,spring,No,Yes,sunny,5.74,7.575,86,8.9981,0,1,1
259,2011-01-12 5:00,spring,No,Yes,sunny,5.74,7.575,86,11.0014,0,5,5
260,2011-01-12 6:00,spring,No,Yes,sunny,4.92,7.575,93,8.9981,0,16,16
261,2011-01-12 7:00,spring,No,Yes,sunny,5.74,7.575,69,8.9981,0,54,54
262,2011-01-12 8:00,spring,No,Yes,sunny,6.56,8.335,59,11.0014,3,125,128
263,2011-01-12 9:00,spring,No,Yes,sunny,6.56,6.82,59,22.0028,3,78,81
264,2011-01-12 10:00,spring,No,Yes,sunny,7.38,9.09,55,15.0013,0,39,39
265,2011-01-12 11:00,spring,No,Yes,sunny,8.2,9.09,51,26.0027,3,32,35
266,2011-01-12 12:00,spring,No,Yes,sunny,8.2,7.575,47,39.0007,3,52,55
267,2011-01-12 13:00,spring,No,Yes,sunny,9.02,9.85,44,23.9994,0,49,49
268,2011-01-12 14:00,spring,No,Yes,sunny,8.2,9.09,47,22.0028,0,44,44
269,2011-01-12 15:00,spring,No,Yes,sunny,8.2,8.335,47,27.9993,1,48,49
270,2011-01-12 16:00,spring,No,Yes,sunny,9.02,9.85,44,22.0028,5,63,68
271,2011-01-12 17:00,spring,No,Yes,sunny,8.2,9.09,47,23.9994,0,139,139
272,2011-01-12 18:00,spring,No,Yes,sunny,8.2,7.575,47,35.0008,2,135,137
273,2011-01-12 19:00,spring,No,Yes,sunny,7.38,7.575,47,27.9993,1,82,83
274,2011-01-12 20:00,spring,No,Yes,sunny,6.56,6.82,50,22.0028,2,54,56
275,2011-01-12 21:00,spring,No,Yes,sunny,6.56,6.82,55,22.0028,0,57,57
276,2011-01-12 22:00,spring,No,Yes,sunny,6.56,6.06,55,30.0026,1,32,33
277,2011-01-12 23:00,spring,No,Yes,sunny,5.74,5.305,59,27.9993,1,19,20
278,2011-01-13 0:00,spring,No,Yes,sunny,5.74,6.06,59,19.0012,1,6,7
279,2011-01-13 1:00,spring,No,Yes,sunny,5.74,6.06,50,19.0012,0,2,2
280,2011-01-13 2:00,spring,No,Yes,sunny,5.74,6.06,50,23.9994,0,2,2
281,2011-01-13 3:00,spring,No,Yes,sunny,5.74,6.06,50,22.0028,0,3,3
282,2011-01-13 4:00,spring,No,Yes,sunny,5.74,6.06,50,16.9979,0,4,4
283,2011-01-13 5:00,spring,No,Yes,sunny,5.74,6.06,50,19.9995,0,3,3
284,2011-01-13 6:00,spring,No,Yes,sunny,4.92,7.575,54,8.9981,0,28,28
285,2011-01-13 7:00,spring,No,Yes,sunny,4.92,7.575,54,8.9981,0,72,72
286,2011-01-13 8:00,spring,No,Yes,sunny,5.74,6.82,50,12.998,5,197,202
287,2011-01-13 9:00,spring,No,Yes,sunny,5.74,6.06,50,22.0028,2,137,139
288,2011-01-13 10:00,spring,No,Yes,cloudy,6.56,6.82,50,23.9994,2,36,38
289,2011-01-13 11:00,spring,No,Yes,cloudy,8.2,8.335,44,30.0026,4,33,37
290,2011-01-13 12:00,spring,No,Yes,sunny,8.2,8.335,44,27.9993,3,49,52
291,2011-01-13 13:00,spring,No,Yes,sunny,9.02,9.85,41,30.0026,2,81,83
292,2011-01-13 14:00,spring,No,Yes,sunny,9.02,9.85,41,26.0027,3,39,42
293,2011-01-13 15:00,spring,No,Yes,sunny,9.84,10.605,38,19.9995,5,55,60
294,2011-01-13 16:00,spring,No,Yes,sunny,9.84,10.605,38,23.9994,2,76,78
295,2011-01-13 17:00,spring,No,Yes,sunny,8.2,9.09,40,19.0012,4,158,162
296,2011-01-13 18:00,spring,No,Yes,sunny,8.2,9.09,40,22.0028,3,141,144
297,2011-01-13 19:00,spring,No,Yes,sunny,6.56,7.575,47,16.9979,1,98,99
298,2011-01-13 20:00,spring,No,Yes,sunny,6.56,7.575,47,15.0013,0,64,64
299,2011-01-13 21:00,spring,No,Yes,sunny,5.74,6.06,46,19.9995,0,40,40
