name,time,driving,owner,location,engine,price
TVS Apache RR310,2019,25000,first owner,udaipur,33,95000
Bajaj Pulsar 220F,2019,9000,first owner,bangalore,21,114125
Royal Enfield Classic,2016,39500,first owner,bihar shariff,19.8,95000
Royal Enfield Continental,2015,1600,first owner,jalandhar,29.1,165000
Yamaha YZF-R15,2008,42821,first owner,mumbai,16,42000
Royal Enfield Bullet,2012,15990,first owner,delhi,19.8,70000
Bajaj Pulsar 220F,2018,18000,first owner,vadodara,21,75000
Yamaha YZF-R15 2.0,2017,29500,first owner,hyderabad,16.7,87500
Hero Ignitor,2013,52000,first owner,visakhapatnam,11,30000
Hero HF Deluxe,2018,7259,first owner,pune,8.1,22500
Hero Xtreme 200R,2019,40000,first owner,chittorgarh,18.1,70000
Yamaha YZF-R15 2.0,2016,45000,second owner,bangalore,16.7,92000
Bajaj CT 100,2018,38000,first owner,chittorgarh,8.1,45000
Hero Achiever Disc,2018,48000,first owner,chittorgarh,13,48000
Royal Enfield Classic,2020,13000,first owner,mumbai,19.8,207500
Royal Enfield Classic,2019,16000,first owner,mumbai,19.8,176375
Yamaha FZs,2014,39000,first owner,pune,13,49800
Bajaj Pulsar,2003,126,first owner,thiruvananthapuram,15,24501
Bajaj CT 100,2016,15745,first owner,bangalore,8.1,20180
Suzuki Gixxer,2016,26300,first owner,bangalore,14,50000
Hero Splendor Plus,2019,75000,first owner,ahmedabad,8.2,30000
Hero Karizma R,2010,65000,first owner,pune,17,40000
Bajaj Pulsar 220F,2018,15000,first owner,bangalore,21,76775
KTM RC,2017,20000,first owner,bareilly,25.1,155000
Hero Splendor ISmart,2017,43000,first owner,chittorgarh,7,49000
Royal Enfield Thunderbird,2017,40000,first owner,visakhapatnam,27.2,150500
Hero Splendor Plus,2021,956,first owner,delhi,7.91,73000
Honda Hornet 2.0,2021,8300,first owner,mumbai,17.03,120000
Bajaj Avenger Street,2018,9097,first owner,gurgaon,19,70000
Bajaj Avenger Street,2017,15950,first owner,hyderabad,14.3,67500
Yamaha FZ25,2018,17000,first owner,hyderabad,20.3,98500
Yamaha FZs,2013,22605,second owner,delhi,13,35000
Hero Passion Pro,2013,23000,first owner,vadodara,8.2,34000
Royal Enfield Bullet,2015,5800,first owner,delhi,19.8,110000
Royal Enfield Classic,2015,25000,second owner,bangalore,27.2,125000
Hero Passion Pro,2016,25000,first owner,kurukshetra,8.2,18750
Yamaha YZF-R15 2.0,2015,15671,second owner,delhi,16.7,65000
Royal Enfield Classic,2021,1300,first owner,mumbai,19.1,207500
Husqvarna Vitpilen 250,2020,2500,first owner,mumbai,29.63,202312
Royal Enfield Himalayan,2018,22000,first owner,hyderabad,24.5,175000
TVS Apache RR310,2020,450,first owner,hyderabad,33,263000
Hero CBZ Xtreme,2011,35000,first owner,gurgaon,14.4,25000
TVS Sport,2014,15000,first owner,bhagalpur,7.4,36000
Hero Passion Pro,2014,17700,first owner,hyderabad,8.2,38000
Bajaj Pulsar,2016,21000,first owner,delhi,21,58200
Bajaj Avenger Street,2020,8019,first owner,jhunjhunu,14.79,85000
KTM RC,2020,930,first owner,hyderabad,42.3,290000
Bajaj Pulsar 220F,2015,46740,first owner,mumbai,21,40000
Royal Enfield Classic,2019,12000,first owner,kochi,19.8,170000
Honda H?™ness CB,2020,1475,first owner,delhi,20.78,173300
Royal Enfield Bullet,2015,14300,first owner,bangalore,19.8,100000
Royal Enfield Thunderbird,2016,28000,first owner,ahmedabad,19.8,82050
Bajaj Pulsar 220F,2016,30000,first owner,bangalore,21,70000
Hero Karizma ZMR,2016,25000,first owner,noida,20,46992
UM Renegade Commando,2019,11000,first owner,mumbai,25,115000
Royal Enfield Classic,2016,2500,first owner,delhi,19.8,117000
Royal Enfield Electra,2017,16781,first owner,bangalore,19.8,112500
UM Renegade Commando,2017,26000,first owner,bangalore,24.8,77815
Yamaha FZS FI,2018,18000,first owner,bangalore,12.9,74700
Royal Enfield Classic,2019,7000,first owner,chandigarh,19.8,170000
Royal Enfield Classic,2019,2300,first owner,chandigarh,19.8,195000
Royal Enfield Continental,2015,4600,first owner,lucknow,29.1,135000
KTM Duke,2014,28912,second owner,bangalore,25,93999
Bajaj Avenger Street,2016,7800,first owner,bangalore,19,60000
Bajaj Discover,2017,37000,first owner,reasi,12.5,32250
Bajaj Avenger,2016,50000,second owner,pune,19,51000
TVS Apache RR310,2021,3500,first owner,delhi,33,249000
KTM RC,2016,3400,second owner,gurgaon,42.3,150000
Bajaj CT 100,2020,6500,first owner,jalandhar,8.1,55000
Bajaj V12,2017,36500,first owner,ludhiana,12,55000
KTM RC,2020,3500,first owner,chandigarh,25.1,215000
Royal Enfield Classic,2018,4900,first owner,chandigarh,19.8,165000
Royal Enfield Classic,2019,14500,first owner,ambala,19.8,157000
Royal Enfield Classic,2020,6000,first owner,chandigarh,19.1,210000
Bajaj Avenger Cruise,2018,3600,first owner,chandigarh,19,115000
Royal Enfield Bullet,2009,14000,second owner,chandigarh,19.8,125000
Royal Enfield Thunderbird,2012,49000,first owner,panchkula,19.8,73000
Royal Enfield Classic,2020,13000,first owner,chandigarh,19.1,209000
Royal Enfield Classic,2019,8000,first owner,chandigarh,27.2,205000
Royal Enfield Classic,2018,7000,first owner,chandigarh,19.8,170000
Yamaha YZF-R15,2016,18000,first owner,ambala,16,65000
Royal Enfield Thunderbird,2018,4000,first owner,jalandhar,19.8,150000
Royal Enfield Classic,2019,12000,first owner,delhi,19.8,162000
Royal Enfield Himalayan,2020,3000,first owner,delhi,24.3,210000
Bajaj CT 100,2016,28800,first owner,bangalore,8.1,39000
Hero HF Deluxe,2019,36000,first owner,chittorgarh,6.15,53000
Royal Enfield Classic,2020,5659,first owner,mumbai,19.1,185000
Suzuki Gixxer,2015,39000,first owner,bangalore,14,46500
Bajaj Avenger,2011,39000,first owner,ahmedabad,19,27899
TVS Apache RR310,2017,21500,first owner,patna,33,35000
Suzuki Gixxer SF,2019,13700,first owner,mumbai,14.6,110000
Honda CB Unicorn,2021,4890,first owner,mumbai,12.5,112000
Royal Enfield Bullet,2011,38998,first owner,bangalore,19.8,95000
Hero Splendor Plus,2017,18649,first owner,bathinda,8.2,49500
Bajaj CT 100,2015,15648,second owner,bathinda,8.1,32500
Hero Glamour,2014,42000,first owner,hyderabad,8.9,38000
Royal Enfield Classic,2013,29000,first owner,chandigarh,27.2,130000
Hero Splendor Plus,2014,52000,first owner,hyderabad,8.2,39000
Bajaj Discover,2013,40000,first owner,hyderabad,12.5,32000
Hero Glamour,2014,46000,first owner,hyderabad,8.9,39000
Royal Enfield Bullet,2013,38000,first owner,hyderabad,19.8,120000
KTM Duke,2016,31000,first owner,mumbai,42.9,135000
Bajaj V15,2016,25300,first owner,bangalore,11.8,45000
Royal Enfield Classic,2017,16805,first owner,delhi,19.8,132000
Royal Enfield Classic,2016,19837,first owner,delhi,19.8,110000
Royal Enfield Classic,2018,13562,first owner,delhi,19.8,125000
Royal Enfield Classic,2019,6500,first owner,chandigarh,19.8,190000
KTM RC,2018,32000,second owner,balotra,25.1,130000
Royal Enfield Thunderbird,2003,15000,second owner,hyderabad,19.8,160000
Royal Enfield Thunderbird,2016,13400,first owner,gurgaon,19.8,111100
Royal Enfield Thunderbird,2018,14494,first owner,bangalore,19.8,148000
Royal Enfield Classic,2017,15000,first owner,rajkot,19.8,133000
Yamaha FZs,2012,47500,first owner,bangalore,13,35000
Royal Enfield Electra,2016,25000,first owner,rajkot,19.8,89280
Bajaj Avenger Street,2017,30971,first owner,mumbai,14.3,55000
Bajaj Avenger,2014,25600,first owner,mumbai,19,36312
Royal Enfield Thunderbird,2013,50000,second owner,jalandhar,19.8,86000
Royal Enfield Bullet,2015,24000,first owner,bangalore,19.8,110000
Yamaha FZs,2013,25500,first owner,jaipur,13,35000
Bajaj CT 100,2006,125000,first owner,sonipat,8.1,9900
Royal Enfield Thunderbird,2017,30500,first owner,gurgaon,19.8,150000
Yamaha FZs,2016,8500,first owner,delhi,13,54000
Hero Passion Pro,2014,40000,second owner,ahmedabad,8.2,24910
Royal Enfield Bullet,2016,15000,first owner,delhi,19.8,95000
Hero Passion Xpro,2018,10143,first owner,delhi,8,41500
Royal Enfield Bullet,2016,16000,second owner,kochi,26.37,65000
Hero Splendor Plus,2017,14500,first owner,delhi,8.2,42500
Royal Enfield Classic,2016,20000,second owner,bangalore,19.8,149000
Hero Splendor iSmart,2017,16000,first owner,bangalore,9.3,56000
Hero Splendor iSmart,2016,20000,first owner,bangalore,8.2,55000
Bajaj Pulsar,2016,22000,first owner,bangalore,21,75000
Bajaj Pulsar NS200,2015,16000,first owner,bangalore,24.2,79999
Suzuki Gixxer,2017,30500,first owner,kolkata,14,56000
Hero HF Deluxe,2018,7259,first owner,delhi,8.1,22500
Hero Super Splendor,2019,45990,first owner,chittorgarh,9,58000
Hero New Super,2019,15500,second owner,bangalore,9,35000
Bajaj Avenger Street,2017,35364,second owner,mumbai,19,69000
UM Renegade Sport,2017,2500,first owner,chandigarh,24.8,150000
Royal Enfield Thunderbird,2017,4333,first owner,mumbai,19.8,130900
Royal Enfield Classic,2019,9301,first owner,mumbai,19.8,175000
Royal Enfield Classic,2015,35000,first owner,delhi,19.8,99999
Royal Enfield Thunderbird,2013,78000,first owner,noida,27.2,106683
Suzuki Gixxer,2016,18546,first owner,bangalore,14,56430
Bajaj Pulsar,2016,25440,first owner,chennai,17,45000
Bajaj Pulsar,2015,49000,first owner,mumbai,21,54000
Royal Enfield Classic,2018,9000,first owner,ludhiana,19.8,130000
Honda CB Trigger,2014,23000,first owner,mumbai,14,38000
Suzuki Slingshot Plus,2016,32568,first owner,bangalore,8.5,25700
Honda CBR 150R,2012,32000,fourth owner or more,navi mumbai,18.28,40000
Royal Enfield Bullet,2015,42000,first owner,delhi,19.8,70000
Suzuki Gixxer,2015,29000,first owner,mumbai,14,41000
Royal Enfield Classic,2017,29562,first owner,bangalore,27.2,140000
Royal Enfield Electra,2009,16080,second owner,delhi,19,60000
Royal Enfield Classic,2019,1500,first owner,delhi,19.8,184000
Hero Splendor Plus,2019,12738,first owner,delhi,8.2,54000
Royal Enfield Classic,2018,9100,first owner,delhi,19.8,135000
Hero HF Deluxe,2018,11024,first owner,delhi,6.15,43000
Royal Enfield Classic,2012,24500,first owner,gurgaon,27.2,79000
Royal Enfield Classic,2017,58000,first owner,visakhapatnam,19.8,114900
Royal Enfield Bullet,1991,1700,first owner,bangalore,19.8,175000
Royal Enfield Classic,2019,9500,first owner,panipat,19.8,160000
Royal Enfield Classic,2019,700,first owner,chandigarh,19.8,197000
UM Renegade Commando,2017,6000,first owner,chandigarh,24.8,145000
Yamaha Fazer 25,2017,18000,first owner,chandigarh,20.3,115000
Hero Super Splendor,2008,60000,first owner,pune,9,18000
Royal Enfield Classic,2020,1400,first owner,chandigarh,19.1,195000
Royal Enfield Himalayan,2017,15000,second owner,bangalore,24.5,180000
Bajaj Pulsar ABS,2020,200,first owner,ludhiana,21,132000
Royal Enfield Electra,2016,30000,first owner,mumbai,19.8,112800
Suzuki Gixxer SF,2017,18000,first owner,kolkata,14.6,60800
Royal Enfield Classic,2018,11000,first owner,chandigarh,19.8,165000
Bajaj Pulsar 220F,2018,9045,first owner,mumbai,21,80000
Bajaj Avenger Street,2016,11000,first owner,jalandhar,14.3,75000
Royal Enfield Classic,2019,13230,first owner,mumbai,19.8,175000
Royal Enfield Thunderbird,2016,8800,second owner,ambala,19.8,110000
Royal Enfield Thunderbird,2015,10855,first owner,delhi,19.8,95000
Royal Enfield Classic,2016,20671,first owner,delhi,19.8,105000
Bajaj Avenger Cruise,2016,16000,first owner,ahmedabad,19,70000
Royal Enfield Classic,2015,28500,first owner,bangalore,19.8,115000
KTM RC,2020,3843,first owner,bangalore,25.1,210000
KTM Duke,2017,13000,second owner,rajkot,24.6,107500
Bajaj Pulsar,2010,95000,first owner,delhi,15,17000
TVS Apache RR310,2021,99000,fourth owner or more,delhi,33,103000
Hero HF Deluxe,2014,38000,first owner,hyderabad,7.7,38000
Royal Enfield??Bullet,2014,35000,first owner,hyderabad,19.8,125000
Hero HF Deluxe,2015,23000,first owner,hyderabad,6.15,45000
Bajaj CT 100,2016,16875,first owner,delhi,8.1,26000
Hero Passion Pro,2019,44000,first owner,chittorgarh,8.2,60000
Bajaj Avenger,2016,28300,first owner,bangalore,19,55000
Bajaj Avenger Street,2016,16470,first owner,pune,14.3,550000
Bajaj Discover,2013,48000,first owner,chittorgarh,12.5,32000
Suzuki Slingshot,2011,33693,first owner,ahmedabad,8.5,25000
Suzuki Gixxer,2018,17700,second owner,bangalore,14,64200
Hero Xtreme,2013,30000,first owner,chittorgarh,14.2,25000
Hero Xtreme,2014,20000,first owner,chittorgarh,14.2,32000
Royal Enfield??Bullet,2014,35000,second owner,ludhiana,19.8,110000
Bajaj Pulsar,2012,35000,second owner,ludhiana,17,40000
KTM RC 125CC,2019,12000,first owner,jalandhar,14.5,165000
UM Renegade Commando,2017,18000,first owner,ludhiana,24.8,190000
Royal Enfield Bullet,1994,34000,second owner,ludhiana,19.8,78000
Royal Enfield??Bullet,1997,45000,third owner,ludhiana,19.8,90000
Royal Enfield Bullet,2008,45000,first owner,ludhiana,19.8,140000
Bajaj Avenger Street,2018,7000,first owner,chandigarh,19,100000
Royal Enfield Classic,2019,600,first owner,chandigarh,19.8,195000
Bajaj Pulsar,2017,12000,second owner,chandigarh,17,58000
Hero Ignitor,2015,15000,first owner,ambala,11,27000
Bajaj Avenger Street,2019,3200,first owner,chandigarh,14.3,120000
Royal Enfield Classic,2010,19500,first owner,delhi,27.2,85500
Bajaj CT 100,2019,10038,first owner,bathinda,8.1,48500
Bajaj Avenger Street,2015,42000,first owner,howrah,19,55000
KTM Duke,2014,30000,first owner,bangalore,25,105000
Bajaj Pulsar,2017,20000,first owner,bangalore,17,79000
Royal Enfield Classic,2017,16227,first owner,mumbai,19.8,115000
Royal Enfield Classic,2020,7464,first owner,mumbai,19.8,165000
Royal Enfield Bullet,2016,14000,first owner,ludhiana,19.8,135000
Suzuki Gixxer,2017,14062,first owner,mumbai,14,69000
Hero Splendor Plus,2018,19240,first owner,mumbai,8.2,58000
Honda Hornet 2.0,2020,5394,first owner,mumbai,17.03,125000
Bajaj Avenger Street,2016,34300,first owner,bangalore,14.3,56000
Bajaj Avenger,2014,55000,first owner,ghaziabad,19,25000
Royal Enfield Classic,2018,16000,first owner,delhi,19.8,135000
Hero Super Splendor,2017,30000,first owner,delhi,9,40000
Suzuki Gixxer SF,2018,32000,first owner,nagpur,14.6,65000
Bajaj Pulsar 200,2014,11930,first owner,navi mumbai,24.2,43500
Bajaj Avenger Street,2016,29000,first owner,delhi,14.3,50000
Bajaj Pulsar,2010,22000,first owner,jodhpur,15,19300
Bajaj Avenger Street,2015,48700,first owner,pune,19,72000
Bajaj Pulsar 220F,2017,18000,first owner,alipore,21,74500
Royal Enfield Thunderbird,2014,22328,first owner,hyderabad,19.8,110200
Bajaj Pulsar 135LS,2010,58000,first owner,jaipur,13,15700
Royal Enfield Thunderbird,2018,20000,first owner,secunderabad,19.8,140000
Hero Hunk,2008,28945,first owner,patiala,14,21000
KTM RC,2016,17000,second owner,avadi,42.3,150000
Bajaj Avenger Street,2016,15000,first owner,mumbai,19,56648
Royal Enfield Thunderbird,2016,13000,first owner,chennai,27.2,120000
Bajaj Pulsar,2016,96000,first owner,delhi,21,52000
Bajaj Pulsar 220F,2018,62000,third owner,pali,21,59000
Royal Enfield Thunderbird,2014,22000,second owner,palampur,19.8,75000
Harley-Davidson Street Bob,2013,60000,second owner,chandigarh,65,545000
Royal Enfield Classic,2017,26000,first owner,baleshwar,19.8,120000
Royal Enfield Thunderbird,2010,38000,first owner,chandigarh,19.8,58050
Bajaj Pulsar,2016,28000,first owner,jodhpur,17,53800
Royal Enfield Classic,2017,26000,first owner,delhi,19.8,123000
Royal Enfield Classic,2011,23270,first owner,pune,27.2,101700
KTM Duke,2015,58000,first owner,panruti,25,95000
Bajaj V15,2016,23000,second owner,samana,11.8,35000
Bajaj Discover,2013,19000,first owner,jaipur,12.5,21000
Bajaj Avenger Street,2017,20000,first owner,mumbai,19,53668
Hero Passion Pro,2016,17465,first owner,bangalore,8.2,37462
Bajaj Pulsar,2016,89000,third owner,delhi,17,35000
Royal Enfield Thunderbird,2012,70000,first owner,salem,19.8,85000
Hero Glamour Fi,2017,25000,first owner,noida,9,42000
Royal Enfield Classic,2014,16637,first owner,bangalore,19.8,100000
Bajaj Pulsar 220F,2017,34000,third owner,delhi,21,55300
Bajaj Pulsar,2019,71000,first owner,delhi,17,60800
Bajaj Avenger,2008,24000,first owner,delhi,19,16000
Bajaj Pulsar 220F,2017,85000,first owner,delhi,21,57000
Bajaj Pulsar,2012,25000,first owner,delhi,21,31000
UM Renegade Commando,2017,18721,first owner,pune,24.8,121000
Suzuki Gixxer SF,2018,12000,first owner,gurgaon,14.6,60000
Royal Enfield Classic,2018,12282,first owner,delhi,19.8,142000
Royal Enfield Electra,2019,8384,first owner,delhi,19.8,137000
Royal Enfield Classic,2017,11831,first owner,delhi,19.8,129000
Royal Enfield Standard,2016,25558,first owner,delhi,26.1,110000
Bajaj Pulsar NS200,2015,78000,first owner,jaipur,24.2,59600
Royal Enfield Thunderbird,2015,30000,first owner,chennai,19.8,100000
Bajaj Pulsar,2020,59000,fourth owner or more,pune,17,55000
Yamaha FZS FI,2019,11233,first owner,24 pargana,12.9,70000
Bajaj Pulsar,2019,89000,first owner,jaipur,17,61000
Bajaj Discover,2012,4000,first owner,jaipur,12.5,19900
Hero Splendor iSmart,2015,46453,first owner,bangalore,8.2,32100
UM Renegade Commando,2017,8500,first owner,hyderabad,25,120000
Royal Enfield Thunderbird,2016,10000,first owner,delhi,19.8,90000
Royal Enfield Thunderbird,2015,36000,first owner,delhi,19.8,88000
Bajaj Pulsar,2010,9800,first owner,pali,15,20000
Bajaj Avenger Street,2016,13500,first owner,gurgaon,14.3,45000
Bajaj Discover,2012,19000,first owner,jaipur,12.5,19500
Bajaj V15,2019,26000,first owner,naihati,11.8,47000
KTM Duke,2019,13000,first owner,sambalpur,24.6,98000
Bajaj Pulsar 220F,2017,92000,first owner,delhi,21,56000
KTM RC,2018,17200,second owner,mumbai,42.3,150000
Royal Enfield Classic,2016,2393,first owner,delhi,27.2,120000
Bajaj Avenger Cruise,2019,21000,first owner,tuticorin,19,75000
Bajaj Avenger Street,2017,25000,first owner,ahmedabad,14.3,45000
Bajaj V15,2017,35000,first owner,delhi,11.8,28000
Bajaj Avenger Street,2016,39000,second owner,hyderabad,19,46000
Bajaj Avenger Street,2018,6200,first owner,chennai,15.3,68500
Royal Enfield Classic,2015,46000,first owner,visakhapatnam,19.8,110000
KTM RC,2018,2438,first owner,delhi,42.3,200000
Royal Enfield Thunderbird,2013,38121,second owner,pune,19.8,85000
Yamaha YZF-R15 V3,2020,8000,first owner,kolkata,18.3,160000
Bajaj V15,2017,15200,first owner,gurgaon,11.8,32000
TVS Apache RR310,2019,11200,first owner,bangalore,33,190000
KTM RC,2018,18500,first owner,lucknow,42.3,175000
Bajaj Avenger,2013,13800,first owner,ahmedabad,19,45000
Hero HF Deluxe,2019,14000,first owner,delhi,6.15,48500
Royal Enfield Classic,2018,13000,first owner,navi mumbai,19.8,130000
Bajaj Pulsar 200,2014,12000,first owner,mumbai,24.2,44200
Hero Passion Pro,2016,15000,first owner,gurgaon,8.2,30000
Hero Passion Pro,2007,81455,first owner,varanasi,8.2,20000
Bajaj Pulsar 220F,2018,61000,third owner,pune,21,60000
Hero Passion Pro,2015,42344,first owner,bangalore,8.2,32200
Hero Splendor,2001,30110,first owner,bangalore,7.44,25000
Yamaha YZF-R15 2.0,2016,25700,first owner,ahmedabad,16.7,65000
Yamaha YZF-R15 2.0,2013,25000,second owner,rajkot,16.7,59520
Yamaha YZF-R15,2013,12070,first owner,delhi,16,60000
KTM RC,2019,3595,first owner,bangalore,25.1,185000
Royal Enfield Thunderbird,2018,8500,first owner,thane,19.8,140800
Hero Karizma R,2011,40000,first owner,mumbai,17,35000
Royal Enfield Classic,2015,38000,first owner,chinchwad,19.8,120000
Bajaj Pulsar 220F,2017,18000,first owner,delhi,21,69569
Bajaj Pulsar,2015,68000,first owner,jaipur,21,53100
Royal Enfield Classic,2020,5000,first owner,rajkot,19.8,200000
Bajaj Avenger Street,2019,10000,first owner,gurgaon,14.3,70000
Bajaj Avenger Cruise,2016,75000,first owner,jaipur,19,58000
Bajaj  Pulsar,2008,16000,first owner,gurgaon,17,9150
Bajaj Discover,2014,26000,first owner,jaipur,12.5,22500
Royal Enfield Classic,2015,14321,first owner,delhi,27.2,110000
Royal Enfield Classic,2016,16950,first owner,thane,19.8,125000
Suzuki Gixxer SF,2021,600,first owner,hyderabad,14.6,140000
Hero Hunk Rear,2012,29000,first owner,mumbai,14,30000
Royal Enfield Classic,2016,18302,first owner,delhi,27.2,115000
Royal Enfield Himalayan,2017,37000,first owner,lucknow,24.5,170000
Royal Enfield Classic,2014,17000,first owner,rajkot,19.8,107500
Bajaj Pulsar,2016,38150,first owner,mumbai,17,45000
Suzuki Gixxer,2015,60000,first owner,hyderabad,14,45000
Royal Enfield Classic,2015,18000,first owner,delhi,19.8,85000
Bajaj Avenger,2018,28331,first owner,delhi,19,80000
Hero Honda Splendor,2011,18895,first owner,kolkata,6.15,20000
Royal Enfield Classic,2013,28000,first owner,ahmedabad,19.8,104600
Hero Passion Pro,2016,25678,first owner,bangalore,8.2,35400
Royal Enfield Classic,2016,49111,first owner,durgapur,19.8,120500
Bajaj Avenger Street,2017,5947,first owner,chennai,19,80000
TVS Apache RR310,2020,3300,first owner,delhi,33,260000
Royal Enfield Classic,2020,3000,first owner,rajkot,19.8,205000
KTM Duke,2018,19000,first owner,secunderabad,24.6,139600
Royal Enfield Classic,2014,48000,first owner,vadodara,19.8,115000
Royal Enfield Continental,2014,8000,second owner,hyderabad,29.1,110000
Royal Enfield Classic,2019,12500,first owner,bangalore,19.8,60000
Royal Enfield Classic,2016,21500,first owner,bangalore,27.2,60000
KTM RC,2018,28000,first owner,dharwad,25.1,145000
Yamaha RX 100,1990,32000,second owner,erode,11,63750
Bajaj Discover,2007,89000,first owner,delhi,9.64,11250
Hero Karizma ZMR,2014,41000,second owner,guntur,20,38000
Suzuki Gixxer,2016,15200,first owner,kolkata,14,65000
Bajaj Avenger,2014,22000,second owner,mumbai,19,36814
Bajaj Pulsar 220F,2017,71000,second owner,jaipur,21,62000
Royal Enfield Electra,2016,27500,first owner,durgapur,19.8,98000
TVS Apache RR310,2018,3900,first owner,akola,33,200000
Royal Enfield Classic,2018,37000,first owner,hyderabad,19.8,150000
Bajaj Discover,2018,16000,first owner,bangalore,10.9,55000
Royal Enfield Classic,2020,3700,first owner,rajkot,19.8,200000
Royal Enfield Classic,2019,3200,first owner,vadodara,19.8,163680
KTM RC,2017,46650,third owner,mumbai,25.1,140000
Bajaj Avenger,2014,14000,first owner,mumbai,19,35000
Royal Enfield Classic,2018,20000,first owner,rewari,19.8,125000
Hero HF Deluxe,2018,6750,first owner,ahmednagar,6.15,23500
Royal Enfield Himalayan,2019,8000,first owner,bangalore,24.5,180000
Royal Enfield Thunderbird,2018,20000,first owner,hyderabad,19.8,140000
Royal Enfield Continental,2018,2000,first owner,bhatinda,29.1,275000
Bajaj Pulsar,2020,5000,first owner,bhatinda,11.64,80000
Royal Enfield Bullet,2014,16000,first owner,delhi,19.8,80000
Honda H?™ness CB,2020,10000,first owner,dehradun,20.78,191958
Bajaj V15,2016,27000,second owner,pune,11.8,45000
KTM Duke,2019,14400,first owner,delhi,42.9,210000
Bajaj Avenger,2015,20000,first owner,delhi,19,42000
Hero Super Splendor,2019,15000,first owner,delhi,9,54000
Bajaj Avenger Street,2016,22459,first owner,thane,14.3,48000
Bajaj  Pulsar,2008,24000,first owner,mumbai,17,14000
Royal Enfield Classic,2017,15000,first owner,delhi,19.8,118000
Suzuki Gixxer,2015,25200,first owner,bangalore,14,52000
Hero Glamour Disc,2019,29000,first owner,hyderabad,8.9,65000
Yamaha FZs,2010,58000,second owner,bangalore,13,35000
KTM Duke,2015,20000,first owner,ahmedabad,25,95000
