老矫,夸老 备盒,乞闭扁柯,弥历扁柯,弥绊扁柯,老碍荐樊,弥措 浅加,乞闭 浅加,弥家 惑措嚼档,乞闭 惑措嚼档,乞闭 泅瘤扁拘,钦拌 老炼矫埃,钦拌 老荤樊
2020-05-27,乞老,17.4,11.8,23.9,,5.9,2.6,31,68.5,999.3,13.2,30.06
2020-05-28,乞老,18.7,14.2,23.4,0,3.9,1.9,38,62.8,999.6,8.4,22.83
2020-05-29,乞老,20.7,14.6,27.6,,4.1,2,38,65.6,1004.9,12.7,28.09
2020-05-30,绒老,22.6,16.5,30,,4.3,1.9,29,57.3,1006.1,11.3,26.5
2020-05-31,绒老,21.2,17.6,28,1,5.7,2.3,39,63,1001.4,5,19.15
2020-06-01,乞老,19.7,16.6,24.5,0.4,6.2,3.4,37,64.3,999.7,11.5,30.35
2020-06-02,乞老,17.9,14.8,21.8,2,4.1,2.2,43,71,997.4,0.2,5.89
2020-06-03,乞老,22,17.6,28.4,,5.6,2.4,47,73.3,993.9,9.5,24.64
2020-06-04,乞老,21.9,19.7,26.5,0.2,4.7,2.7,57,81.1,994.1,4.7,19.77
2020-06-05,乞老,23,18.4,28.7,,3.8,1.8,45,69.4,997.2,8.8,23.36
2020-06-06,绒老,24.6,19.2,30.9,,4.4,2,38,63.6,998.1,8.6,23.38
2020-06-07,绒老,22.7,19.2,29.2,,5.1,2.3,44,69.4,1001.9,9.2,26.04
2020-06-08,乞老,25,19.8,32,,5.5,2.1,40,63.6,1004.6,11.3,26.13
2020-06-09,乞老,26.7,20.3,32.8,,4.3,2.3,34,51.6,1004.3,12.9,28.36
2020-06-10,乞老,25.8,22.5,32.1,6.2,6.2,2,41,63.8,998.9,5.2,18.85
2020-06-11,乞老,26.1,21.7,31.6,0,4.6,2.2,38,68.3,993.7,8,26.03
2020-06-12,乞老,24.7,21.6,27.6,,3,1.7,49,68.6,995.1,0.5,11.51
2020-06-13,绒老,26.9,20.6,33.5,0,5,1.9,27,52.8,994.3,9.7,28.11
2020-06-14,绒老,24,20.1,28.8,1.1,5.9,2.9,41,70.6,994.3,8.1,22.52
2020-06-15,乞老,23,18.2,28.6,,6.3,2.8,31,62.3,996.4,10.1,26.53
2020-06-16,乞老,24.4,20,30.7,,4.4,2.2,37,63,995.7,7.5,24.74
2020-06-17,乞老,24.3,20.2,30.3,,4.3,2,37,58.6,995.3,5.9,21.25
2020-06-18,乞老,23.4,20.3,27.3,,3.4,1.6,47,61.4,993.1,0.1,11
2020-06-19,乞老,24.7,21.1,30,0.1,4.2,2.1,45,61.4,996.4,6,19.6
2020-06-20,绒老,24.9,20.7,29.7,,4.6,2.1,48,62.6,1000,11.7,24.75
2020-06-21,绒老,26.1,19.5,32.7,,4.5,2,39,59.5,998,13.5,27.82
2020-06-22,乞老,28.6,21.7,35.4,,4.1,2,26,50.5,998,13.3,28.95
2020-06-23,乞老,27.3,23.2,31,0,3.7,1.9,42,53.5,998.3,5.1,16.97
2020-06-24,乞老,22.3,19.9,26.3,37.6,5.7,2.7,55,83.5,993.1,0,2.91
2020-06-25,乞老,21.6,20.1,23.4,13.3,4.3,2.2,79,91,991.8,0.1,6.11
2020-06-26,乞老,21.8,19.2,25.7,2.1,5.3,3.2,63,82.1,996.5,3.1,13.03
2020-06-27,绒老,24.1,20.4,29.6,0,5.4,2,52,70.4,995.5,7.4,22.18
2020-06-28,绒老,25.2,21.5,30.1,,4.7,2.4,49,70.5,994.8,12.4,28.6
2020-06-29,乞老,23.8,20.6,26.5,11.9,5.9,2.4,64,77,991.8,1.7,8.4
2020-06-30,乞老,20.1,18.4,23.1,64.7,7.6,4,63,83,984.3,0,6.2
2020-07-01,乞老,21.1,18.1,24.3,0,3.7,1.9,67,79.3,995,0.2,9.47
2020-07-02,乞老,24.2,20.4,29.8,,3.4,1.9,51,74.5,1000.9,5.4,19.15
2020-07-03,乞老,25.5,21.6,30.6,0.1,6.1,2.6,34,63.5,1000.5,9.6,27.47
2020-07-04,绒老,24.2,20.4,29.5,1.6,4.4,2.1,39,63.9,997,9.5,26.88
2020-07-05,绒老,23.8,19.9,27.6,,3.5,1.9,52,68.6,994.5,6.4,20.85
2020-07-06,乞老,25.6,21.8,30.9,,4.7,2.1,46,66.6,991.2,5,19.28
2020-07-07,乞老,24.1,22.1,28.1,0,4,2.5,59,75.5,994.3,4,15.15
2020-07-08,乞老,25.5,21.3,30.4,,3.7,2,52,71.9,994.8,10,25.81
2020-07-09,乞老,27.5,21.8,32.9,,3.6,1.7,38,64.6,994,7.7,23.1
2020-07-10,乞老,24.5,22.7,27.7,2.2,6.6,2.8,60,75,992.6,3.1,12.3
2020-07-11,绒老,25.8,22.2,30.2,,5,2.6,49,62.6,997.5,6.6,21.82
2020-07-12,绒老,23.5,21.7,26,2.9,3.6,2.4,58,71.9,999.3,0,7.67
2020-07-13,乞老,18.7,17.7,21.7,47.6,5.9,4,86,94.8,993,0,4.58
2020-07-14,乞老,20.3,17.2,24.3,11.5,4.4,2.8,62,79.4,993.9,0.1,12.46
2020-07-15,乞老,23.4,18.9,28.7,,3.4,2,40,63.1,995.5,9.3,26.6
2020-07-16,乞老,25,20.4,29.7,,3.5,1.8,55,70.9,997,10.2,25.76
2020-07-17,乞老,26,21.5,31.6,0,5.6,1.9,52,72,998.3,7.5,22.28
2020-07-18,绒老,26.1,22.8,31,,4,1.6,54,71.6,998.4,4.3,15.49
2020-07-19,绒老,24,20.6,26.6,29.1,4.3,2.7,62,81.6,994.9,0,4.92
2020-07-20,乞老,23.8,22.4,26.6,3.6,7,3.7,77,86.3,995.9,0,5.15
2020-07-21,乞老,25,21.4,30.5,0,4.2,1.6,51,77,1001.8,4,17.83
2020-07-22,乞老,23.7,22.6,25.7,11.5,3.4,1.6,81,89.3,999.9,0,4.5
2020-07-23,乞老,21.1,18.5,22.6,103.1,8.3,3.6,89,95.5,995.7,0,2.72
2020-07-24,乞老,22.5,18.7,26.8,2.9,8.7,4.6,61,74.3,989.3,1,10.46
2020-07-25,绒老,24.3,22.3,29,0,6.1,3.1,56,69.3,993.6,1.9,15.59
2020-07-26,绒老,25.4,21.6,29.6,0,3.3,2,56,69.3,997.4,5.6,18.14
2020-07-27,乞老,24.3,22.9,25.5,2.2,3.2,2.2,80,86.4,998.6,0,7.72
2020-07-28,乞老,24.4,22.7,26.4,0.4,3.1,2,71,84.8,1000.5,0,8.38
2020-07-29,乞老,23.7,22.6,24.9,50.1,3.4,2,89,95.8,1002,0,3.18
2020-07-30,乞老,25.3,23.4,28.4,0.1,3.8,2.1,68,85.5,1003.4,3,15.34
2020-07-31,乞老,26.2,22.8,29.6,1.5,4.6,2,69,81.9,1003.9,5,14.5
2020-08-01,绒老,25.3,24.3,26.9,39.1,4.9,1.7,82,90.9,1000.5,0,5.31
2020-08-02,绒老,24.9,23.5,26.4,31.4,7.5,2.3,90,96.3,997.8,0,2.55
2020-08-03,乞老,25,23.9,26.3,102.6,8.3,3,89,96.3,998.4,0,3.09
2020-08-04,乞老,27,25,29.4,3.9,5.7,3.5,77,89.3,1000.9,0.4,8.06
2020-08-05,乞老,26.5,25.5,29.1,18.5,4.6,1.9,81,92.1,1000.8,0.1,5.02
2020-08-06,乞老,24.1,22.9,26,75.7,6.5,3.3,83,92.8,995.4,0.2,6.74
2020-08-07,乞老,24.3,22.6,26.1,0,3.3,1.8,71,85.3,996.9,0,6.7
2020-08-08,绒老,24.2,22.7,26.1,19.1,3.7,2.3,77,89.5,993.2,1.8,6.96
2020-08-09,绒老,24.9,23.7,25.8,50.3,6.8,2.6,89,95.4,992.5,0,1.43
2020-08-10,乞老,26.5,24.7,29.5,44.6,4.3,2,78,91.6,993.8,0.2,7.77
2020-08-11,乞老,24.6,22.4,27.3,97,4.7,2.2,79,92.5,999.6,0.5,7.44
2020-08-12,乞老,27.2,23.5,31.3,,4.3,1.9,68,83.9,1002.7,2.1,13.62
2020-08-13,乞老,28,26.3,30.3,,4.9,2.5,74,82.4,999.3,0.2,7.96
2020-08-14,乞老,27.1,26.5,28,0.4,5.7,3.5,81,86.1,995.8,0,4.14
2020-08-15,绒老,26.1,25,27,69,5.6,1.9,92,96,998.7,0,3.25
2020-08-16,绒老,27.4,25.3,30.8,,5.2,3,66,82.6,1001,2.4,14.3
2020-08-17,绒老,28.2,26.1,32.2,,4.1,2.3,61,77.9,1003.7,5.8,18.44
2020-08-18,乞老,27.5,24,31.9,,3.6,1.6,56,76.3,1003.2,7.9,19.81
2020-08-19,乞老,27.1,23.6,31.4,,4.4,2,61,76.8,1001.7,9.4,22.54
2020-08-20,乞老,27.7,25,31.7,,4.2,1.7,58,76,1002.4,3.1,15.16
2020-08-21,乞老,26.6,25.2,29.2,2.5,3.5,1.6,75,83.1,1003.9,0.8,8.74
2020-08-22,绒老,24.3,21.7,27.6,42.6,5.5,2.1,78,87.4,1002.5,0.6,7.56
2020-08-23,绒老,25.3,21.5,29.9,,3.9,1.9,59,78.4,998.7,6.8,18.72
2020-08-24,乞老,27.8,23.7,32,,4.9,2.2,54,71.6,995.2,8.8,20.25
2020-08-25,乞老,29.9,26,34.5,,4.6,2.1,49,69.5,995,7.6,21.21
2020-08-26,乞老,30.2,27,34.5,0.6,6.5,3.4,53,68.3,992.2,7.5,19.68
2020-08-27,乞老,27.1,25.6,28.6,8.7,7,3.6,70,84.6,991.3,0.5,5.5
2020-08-28,乞老,27.3,26,29.7,13.6,4.4,1.6,77,89.1,997.3,2,10.18
2020-08-29,绒老,26.8,25.5,29,13.6,4,1.3,77,90.1,999.2,1.7,8.7
2020-08-30,绒老,26.8,24.4,30.6,42.5,4.8,2.1,74,88.8,1001.6,2.4,12.89
2020-08-31,乞老,26.4,23.8,30,0,4.3,2.8,67,77.9,1002.4,1.9,12.25
2020-09-01,乞老,26.6,23.8,29.5,0,3.6,1.9,62,72.4,999.4,1,11.35
2020-09-02,乞老,24.3,22.6,26.4,33.3,4,2.3,79,91.3,993.7,0,3.34
2020-09-03,乞老,22.7,20,25.6,29.8,9.8,4.8,63,82,987.3,2.8,13.51
2020-09-04,乞老,23.3,19.9,27.5,,5.6,2.7,39,63.9,1002.2,10.1,21.21
2020-09-05,绒老,23.3,19.2,27.3,,3.5,2,53,66.6,1003.5,3.3,14.49
2020-09-06,绒老,21.7,19.5,24.4,6.4,4.8,2.7,62,80,999.3,0,7.13
2020-09-07,乞老,19.2,17.5,20.6,61,7.9,4.2,84,93.5,983.1,0,3.37
2020-09-08,乞老,23.4,20.6,26.5,0,7,4.2,50,71.5,998.7,9.5,21.87
2020-09-09,乞老,21.1,19,25.3,1.3,7.6,2.1,65,83.4,999.9,3.1,12.29
2020-09-10,乞老,22.8,18.8,27,3.9,4.2,2,49,75.8,999.1,9,19.17
2020-09-11,乞老,22.4,19.2,27.1,1.2,4.9,2.8,47,72.6,1004.5,4.5,12.87
2020-09-12,绒老,20.2,18.1,23.2,5.7,3.9,2,74,83.8,,0,7.34
2020-09-13,绒老,21.5,16.7,26.6,,3.5,1.9,52,70.4,1005.7,9.8,20.53
2020-09-14,乞老,21.3,17.6,24.9,0,4.3,1.8,62,79.3,1004.4,5.7,13.86
2020-09-15,乞老,23,18.9,27.7,,3.3,1.6,50,76.4,1002.6,5.1,16.56
2020-09-16,乞老,22.5,21.3,24.9,0.3,3.4,1.9,70,79.9,999.6,0.3,6.21
2020-09-17,乞老,21.3,20.1,23.6,,3.7,2.1,47,70.3,1000.2,0.7,9.35
2020-09-18,乞老,21.5,18.1,25.8,,6,2.8,35,62,1002.7,9.8,21.24
2020-09-19,绒老,21.2,17.6,26.2,0.3,5.3,2.2,27,59.3,1004.9,9.7,21.25
2020-09-20,绒老,19.7,15.6,24.9,,4.9,2,33,57.6,1007,11.4,22.19
2020-09-21,乞老,19.1,13.6,25.3,,2.9,1.7,33,56.1,1008.1,9.6,19.54
2020-09-22,乞老,20.2,15.5,25.6,,4.6,2.8,35,55.3,1008.7,10.7,21.71
2020-09-23,乞老,19.2,15.2,23.8,,5.3,3.3,50,59.9,1008.2,7.2,16.99
2020-09-24,乞老,20.6,16.8,25.4,,5.7,3.7,49,59.6,1005.3,8,18.54
2020-09-25,乞老,20.1,16.6,25.4,,4.9,2.5,49,64.1,1003.7,3.5,13.39
2020-09-26,绒老,19.3,14.8,24.8,,6.2,2.4,45,62.5,1006.7,8,15.92
2020-09-27,绒老,20.4,14.9,25.8,,3.9,2,43,63.3,1008.5,9.8,18.7
2020-09-28,乞老,20.7,15.7,26.5,,3.6,2,40,66,1006.5,10.5,19.29
2020-09-29,乞老,19.6,15.3,23.9,,4.3,1.9,43,67.6,1001.6,6.3,14.84
2020-09-30,绒老,19.6,16.2,25.7,38.3,4.1,1.7,48,78,1000.6,4.9,14
2020-10-01,绒老,18.8,15.6,23.6,,4.7,2.1,58,74.9,1003.4,2.5,10.89
