id,left,satisfaction,evaluation,projects,hours,years,accident,promotion,department,salary
74,1,0.09,0.87,7,295,4,0,0,product_mng,low
75,1,0.11,0.97,6,277,4,0,0,product_mng,medium
76,1,0.11,0.79,7,306,4,0,0,product_mng,medium
77,1,0.1,0.83,6,295,4,0,0,product_mng,medium
78,1,0.4,0.54,2,137,3,0,0,marketing,medium
79,1,0.43,0.56,2,157,3,0,0,sales,low
80,1,0.39,0.56,2,142,3,0,0,accounting,low
81,1,0.45,0.54,2,140,3,0,0,support,low
82,1,0.38,0.49,2,151,3,0,0,technical,low
83,1,0.79,0.59,4,139,3,0,1,management,low
84,1,0.84,0.85,4,249,6,0,0,marketing,low
85,1,0.11,0.77,6,291,4,0,0,marketing,low
86,1,0.11,0.87,6,305,4,0,0,marketing,low
87,1,0.17,0.84,5,232,3,0,0,sales,low
88,1,0.44,0.45,2,132,3,0,0,sales,low
89,1,0.37,0.57,2,130,3,0,0,sales,low
90,1,0.1,0.79,6,291,4,0,0,sales,low
91,1,0.4,0.5,2,130,3,0,0,sales,low
92,1,0.89,1,5,246,5,0,0,sales,low
93,1,0.42,0.48,2,143,3,0,0,sales,low
94,1,0.46,0.55,2,129,3,0,0,sales,low
95,1,0.09,0.83,6,255,4,0,0,sales,low
96,1,0.37,0.51,2,155,3,0,0,sales,low
97,1,0.1,0.77,6,265,4,0,0,sales,low
98,1,0.1,0.84,6,279,4,0,0,sales,low
99,1,0.11,0.97,6,284,4,0,0,sales,low
100,1,0.9,1,5,221,6,0,0,sales,medium
101,1,0.38,0.52,2,154,3,0,0,sales,medium
102,1,0.36,0.52,2,147,3,0,0,sales,medium
103,1,0.42,0.46,2,150,3,0,0,sales,medium
104,1,0.09,0.94,7,267,4,0,0,sales,medium
105,1,0.43,0.52,2,158,3,0,0,sales,medium
106,1,0.24,0.46,7,224,5,0,0,accounting,medium
107,1,0.91,1,4,257,5,0,0,accounting,medium
108,1,0.44,0.5,2,148,3,0,0,accounting,medium
109,1,0.71,0.87,3,177,4,0,0,hr,medium
110,1,0.4,0.49,2,155,3,0,0,hr,medium
111,1,0.43,0.47,2,144,3,0,0,hr,medium
112,1,0.09,0.85,6,289,4,0,0,hr,high
113,1,0.43,0.52,2,160,3,0,0,technical,low
114,1,0.9,0.96,4,258,5,0,0,technical,medium
115,1,0.84,1,5,234,5,0,0,technical,medium
116,1,0.37,0.48,2,137,3,0,0,technical,medium
117,1,0.86,0.68,5,263,2,0,0,technical,medium
118,1,0.11,0.84,6,251,4,0,0,technical,low
119,1,0.37,0.57,2,133,3,0,0,technical,low
120,1,0.4,0.46,2,132,3,0,0,technical,low
121,1,0.14,0.62,4,158,4,1,0,technical,low
122,1,0.4,0.46,2,135,3,0,0,technical,low
123,1,0.75,1,4,216,6,0,0,technical,low
124,1,0.11,0.84,6,300,5,1,0,support,low
125,1,0.46,0.49,2,138,3,0,0,support,low
126,1,0.11,0.92,6,260,4,0,0,support,low
127,1,0.38,0.49,2,132,3,0,0,support,low
128,1,0.7,0.89,3,183,5,0,0,support,low
129,1,0.09,0.82,6,250,4,0,0,support,low
130,1,0.37,0.45,2,151,3,0,0,support,low
131,1,0.1,0.83,6,292,4,0,0,support,low
132,1,0.38,0.57,2,140,3,0,0,support,low
133,1,0.9,1,5,221,5,0,0,support,low
134,1,0.44,0.51,2,138,3,0,0,support,low
135,1,0.36,0.5,2,132,3,0,0,technical,low
136,1,0.31,0.84,7,133,5,0,0,technical,low
137,1,0.1,0.84,6,283,4,1,0,technical,low
138,1,0.42,0.48,2,129,3,0,0,management,low
139,1,0.74,1,4,249,5,0,0,IT,low
140,1,0.73,0.87,5,257,5,0,0,IT,low
141,1,0.09,0.96,6,245,4,0,0,IT,low
142,1,0.45,0.53,2,155,3,0,0,IT,low
143,1,0.11,0.8,6,256,4,0,0,IT,low
144,1,0.37,0.47,2,152,3,0,0,product_mng,low
145,1,0.84,0.99,4,267,5,0,0,product_mng,low
146,1,0.41,0.46,2,151,3,0,0,product_mng,low
147,1,0.76,0.92,4,239,5,0,0,product_mng,low
148,1,0.11,0.87,6,306,4,0,0,IT,low
149,1,0.84,0.88,4,263,5,1,0,marketing,low
150,1,0.39,0.5,2,147,3,0,0,marketing,low
151,1,0.11,0.91,6,278,4,0,0,marketing,low
152,1,0.45,0.56,2,154,3,0,0,marketing,low
153,1,0.37,0.52,2,143,3,0,0,marketing,low
154,1,0.4,0.52,2,155,3,0,0,marketing,low
155,1,0.39,0.48,2,160,3,0,0,sales,low
156,1,0.11,0.8,6,304,4,0,0,accounting,low
157,1,0.83,1,5,240,5,0,0,support,low
158,1,0.11,0.92,6,305,4,0,0,technical,low
159,1,0.39,0.5,2,136,3,0,0,management,low
160,1,0.45,0.45,2,132,3,0,0,marketing,low
161,1,0.1,0.95,7,301,4,0,0,marketing,low
162,1,0.9,0.98,5,243,6,0,0,marketing,low
163,1,0.45,0.51,2,147,3,0,0,sales,low
164,1,0.79,0.89,5,239,5,0,0,sales,low
165,1,0.9,0.99,5,260,5,0,0,sales,low
166,1,0.11,0.84,7,296,4,0,0,sales,low
167,1,0.43,0.55,2,129,3,0,0,sales,low
168,1,0.31,0.54,5,132,5,0,0,sales,low
169,1,0.32,0.5,2,135,5,0,0,sales,low
170,1,0.45,0.57,2,158,3,0,0,sales,low
171,1,0.81,0.99,4,259,5,0,0,sales,low
172,1,0.41,0.46,2,160,3,0,1,sales,low
173,1,0.11,0.78,7,278,4,0,0,sales,low
174,1,0.1,0.88,6,284,4,0,0,sales,low
175,1,0.7,0.53,2,274,4,0,0,sales,low
176,1,0.54,0.74,4,164,2,0,0,sales,low
177,1,0.41,0.48,2,148,3,0,0,sales,low
178,1,0.38,0.5,2,140,3,0,0,sales,medium
179,1,0.37,0.51,2,127,3,0,0,sales,medium
180,1,0.11,0.85,6,308,5,0,0,sales,medium
181,1,0.4,0.47,2,146,3,0,0,sales,medium
182,1,0.1,0.84,6,261,4,0,0,accounting,medium
183,1,0.89,0.99,5,257,5,0,0,accounting,medium
184,1,0.11,0.8,6,285,4,0,0,accounting,medium
185,1,0.36,0.55,2,141,3,0,0,hr,medium
186,1,0.4,0.46,2,127,3,0,0,hr,medium
187,1,0.09,0.85,6,297,4,0,0,hr,medium
188,1,0.4,0.46,2,143,3,0,0,hr,medium
189,1,0.37,0.55,2,152,3,0,0,technical,medium
190,1,0.44,0.51,2,156,3,0,0,technical,high
191,1,0.09,0.8,7,283,5,0,0,technical,low
192,1,0.92,0.87,4,226,6,1,0,technical,medium
193,1,0.74,0.91,4,232,5,0,0,technical,medium
194,1,0.09,0.82,6,249,4,0,0,technical,medium
195,1,0.89,0.95,4,275,5,0,0,technical,medium
196,1,0.09,0.8,6,304,4,0,0,technical,low
197,1,0.27,0.54,7,278,3,0,0,technical,low
198,1,0.1,0.91,6,287,4,0,0,technical,low
199,1,0.1,0.89,7,285,4,0,0,technical,low
200,1,0.77,0.94,5,226,6,0,0,support,low
201,1,0.9,0.82,5,259,5,0,0,support,low
202,1,0.39,0.5,2,135,3,0,0,support,low
203,1,0.76,1,5,219,5,0,0,support,low
204,1,0.1,0.93,6,256,4,0,0,support,low
205,1,0.87,0.9,5,254,6,0,0,support,low
206,1,0.38,0.5,2,153,3,0,0,support,low
207,1,0.77,0.99,5,228,5,0,0,support,low
208,1,0.78,0.87,4,228,5,0,0,support,low
209,1,0.44,0.5,2,128,3,0,0,support,low
210,1,0.38,0.52,2,153,3,0,0,support,low
211,1,0.43,0.46,2,156,3,0,0,technical,low
212,1,0.39,0.5,4,294,3,0,0,technical,low
213,1,0.88,1,5,219,5,0,0,technical,low
214,1,0.45,0.46,2,153,3,0,0,management,low
215,1,0.4,0.53,2,151,3,0,0,IT,low
216,1,0.36,0.51,2,155,3,0,0,IT,low
217,1,0.36,0.48,2,158,3,0,0,IT,low
218,1,0.9,0.98,5,245,5,0,0,IT,low
219,1,0.43,0.53,2,131,3,0,0,IT,low
220,1,0.89,0.87,5,225,5,0,0,product_mng,low
221,1,0.1,0.84,6,286,4,0,0,product_mng,low
222,1,0.37,0.5,2,135,3,0,0,product_mng,low
223,1,0.37,0.51,2,153,3,0,0,product_mng,low
224,1,0.87,0.9,5,252,5,0,0,IT,low
225,1,0.4,0.56,2,149,3,0,0,accounting,low
226,1,0.9,0.97,4,258,5,0,0,accounting,low
227,1,0.37,0.46,2,158,3,0,0,hr,low
228,1,0.44,0.54,2,149,3,0,0,hr,low
229,1,0.85,0.95,5,236,5,0,0,hr,low
230,1,0.78,0.98,5,239,6,0,0,marketing,low
231,1,0.42,0.47,2,159,3,0,0,marketing,low
232,1,0.92,0.99,5,255,6,0,0,sales,low
233,1,0.11,0.83,6,244,4,0,0,accounting,low
234,1,0.42,0.56,2,134,3,0,0,support,low
235,1,0.48,0.57,4,270,4,0,0,technical,low
236,1,0.83,0.85,4,255,5,0,0,management,low
237,1,0.4,0.53,2,151,3,0,0,marketing,low
238,1,0.43,0.45,2,135,3,0,0,marketing,low
239,1,0.43,0.53,2,146,3,0,0,marketing,low
240,1,0.1,0.97,7,254,4,0,0,sales,low
241,1,0.1,0.87,7,289,4,0,0,sales,low
242,1,0.37,0.46,2,156,3,0,0,sales,low
243,1,0.38,0.53,2,156,3,0,0,sales,low
244,1,0.4,0.5,2,128,3,0,0,sales,low
245,1,0.89,0.86,5,275,5,0,0,sales,low
246,1,0.45,0.46,2,155,3,0,0,sales,low
247,1,0.37,0.48,2,159,3,0,0,sales,low
248,1,0.46,0.49,2,148,3,0,0,sales,low
249,1,0.87,0.91,4,228,5,0,0,sales,low
250,1,0.11,0.84,6,298,4,0,0,sales,low
251,1,0.79,0.87,5,261,5,0,0,sales,low
252,1,0.79,0.92,5,254,6,0,0,sales,low
253,1,0.19,0.59,7,192,3,0,0,sales,low
254,1,0.87,0.98,4,248,5,0,0,sales,low
255,1,0.6,0.92,2,258,5,0,0,sales,low
256,1,0.44,0.45,2,156,3,0,0,sales,medium
257,1,0.11,0.81,6,266,4,1,0,sales,medium
258,1,0.42,0.54,2,156,3,0,0,sales,medium
259,1,0.88,0.88,5,232,5,1,0,accounting,medium
260,1,0.11,0.84,6,287,4,0,0,accounting,medium
261,1,0.46,0.46,2,154,3,0,0,accounting,medium
262,1,0.82,0.97,5,263,5,0,0,hr,medium
263,1,0.44,0.56,2,131,3,0,0,hr,medium
264,1,0.11,0.78,6,260,4,0,0,hr,medium
265,1,0.42,0.5,2,139,3,0,0,hr,medium
266,1,0.84,0.93,4,251,5,0,0,technical,medium
267,1,0.11,0.95,6,286,4,0,0,technical,medium
268,1,0.45,0.53,2,129,3,0,0,technical,high
269,1,0.38,0.56,2,156,3,0,0,technical,low
270,1,0.38,0.86,6,139,6,0,0,technical,medium
271,1,0.44,0.51,2,127,3,0,0,technical,medium
272,1,0.11,0.84,6,251,4,0,0,technical,medium
273,1,0.81,0.93,5,270,5,0,0,technical,medium
274,1,0.09,0.96,6,296,4,0,0,technical,low
275,1,0.11,0.9,6,254,4,0,0,technical,low
276,1,0.81,0.95,5,238,6,0,0,technical,low
277,1,0.1,0.97,6,267,4,1,0,support,low
278,1,0.74,0.89,5,229,6,0,0,support,low
279,1,0.09,0.78,6,254,4,0,0,support,low
280,1,0.82,0.81,4,233,4,1,0,support,low
281,1,0.1,0.98,6,268,4,0,0,support,low
282,1,0.27,0.56,3,301,3,0,0,support,low
283,1,0.83,0.92,5,267,6,0,0,support,low
284,1,0.1,0.93,6,289,4,1,0,support,low
285,1,0.38,0.47,2,144,3,0,0,support,low
286,1,0.4,0.56,2,148,3,0,0,support,low
287,1,0.11,0.83,6,306,4,0,0,support,low
288,1,0.11,0.79,6,292,4,0,1,technical,low
289,1,0.82,0.91,5,232,5,0,0,technical,low
290,1,0.36,0.48,2,137,3,0,0,technical,low
291,1,0.4,0.46,2,128,3,0,0,management,low
292,1,0.87,0.84,5,231,5,0,0,IT,low
293,1,0.41,0.49,2,146,3,0,0,IT,low
294,1,0.11,0.91,6,308,4,1,0,IT,low
295,1,0.1,0.93,6,253,4,0,0,IT,medium
296,1,0.38,0.51,2,146,3,0,0,IT,medium
297,1,0.39,0.55,2,156,3,0,0,product_mng,medium
298,1,0.4,0.52,2,147,3,0,0,product_mng,medium
299,1,0.45,0.48,2,136,3,0,0,product_mng,medium
300,1,0.74,0.84,5,249,5,0,0,product_mng,medium
301,1,0.45,0.55,2,151,3,0,0,IT,medium
302,1,0.12,1,3,278,4,0,0,RandD,medium
303,1,0.1,0.77,7,250,5,0,0,RandD,medium
304,1,0.37,0.55,2,127,3,0,0,RandD,medium
305,1,0.89,0.87,5,255,5,0,0,RandD,medium
306,1,0.45,0.47,2,135,3,0,0,RandD,medium
307,1,0.37,0.46,2,149,3,0,0,marketing,high
308,1,0.11,0.81,5,287,4,0,0,sales,low
309,1,0.41,0.48,2,145,3,0,0,accounting,medium
310,1,0.1,0.94,6,285,4,0,0,support,medium
311,1,0.1,0.93,7,305,4,0,0,technical,medium
312,1,0.11,0.95,7,300,4,0,0,management,medium
313,1,0.4,0.54,2,139,3,0,0,marketing,low
314,1,0.41,0.49,2,130,3,0,0,marketing,low
315,1,0.1,0.81,6,268,4,0,0,marketing,low
316,1,0.73,0.86,4,245,6,0,0,sales,low
317,1,0.43,0.47,2,135,3,0,0,sales,low
318,1,0.37,0.46,2,153,3,0,0,sales,low
319,1,0.11,0.94,6,276,4,0,0,sales,low
320,1,0.4,0.46,2,130,3,0,0,sales,low
321,1,0.41,0.54,2,153,3,1,0,sales,low
322,1,0.82,0.84,5,244,5,0,0,sales,low
323,1,0.61,0.47,2,253,3,0,0,sales,low
324,1,0.11,0.91,7,287,4,0,0,sales,low
325,1,0.37,0.45,2,131,3,0,0,sales,low
326,1,0.41,0.52,2,135,3,0,0,sales,low
327,1,0.37,0.52,2,157,3,0,0,sales,low
328,1,0.88,0.99,5,262,6,0,0,sales,low
329,1,0.1,0.85,6,266,4,0,0,sales,low
330,1,0.44,0.48,2,148,3,0,0,sales,low
331,1,0.38,0.57,2,140,3,0,0,sales,low
332,1,0.11,0.85,7,302,4,0,0,sales,low
333,1,0.09,0.98,6,271,4,0,0,sales,low
334,1,0.45,0.52,2,145,3,0,0,sales,medium
335,1,0.1,0.81,6,290,4,0,0,accounting,medium
336,1,0.45,0.47,2,151,3,0,0,accounting,medium
337,1,0.77,0.87,5,266,5,0,0,accounting,medium
338,1,0.44,0.51,2,140,3,0,0,hr,medium
339,1,0.39,0.5,2,142,3,0,0,hr,medium
340,1,0.1,0.91,6,246,4,0,0,hr,medium
341,1,0.09,0.89,7,308,5,0,0,hr,medium
342,1,0.37,0.47,2,141,3,0,0,technical,medium
343,1,0.9,1,5,232,5,0,0,technical,medium
344,1,0.41,0.56,2,143,3,0,0,technical,medium
345,1,0.37,0.52,2,155,3,0,0,technical,medium
346,1,0.1,0.86,6,278,4,0,0,technical,high
347,1,0.81,1,4,253,5,0,0,technical,low
348,1,0.11,0.8,6,282,4,0,0,technical,medium
349,1,0.11,0.84,7,264,4,0,0,technical,medium
350,1,0.4,0.46,2,149,3,0,0,technical,medium
351,1,0.09,0.8,6,304,5,0,0,technical,medium
352,1,0.48,0.93,3,219,6,0,0,technical,low
353,1,0.91,0.91,4,262,6,0,0,support,low
354,1,0.43,0.57,2,135,3,0,0,support,low
355,1,0.33,0.88,6,219,5,0,0,support,low
356,1,0.41,0.57,2,136,3,0,0,support,low
357,1,0.41,0.55,2,154,3,0,0,support,low
358,1,0.37,0.54,2,149,3,0,0,support,low
359,1,0.31,0.62,6,135,5,0,0,support,low
360,1,0.09,0.91,6,275,4,0,0,support,low
361,1,0.1,0.87,6,290,4,0,0,support,low
362,1,0.76,0.9,4,263,5,0,0,support,low
363,1,0.41,0.54,2,145,3,0,0,support,low
364,1,0.72,0.96,5,267,5,0,0,technical,low
365,1,0.4,0.5,2,141,3,1,0,technical,low
366,1,0.91,0.87,4,235,5,0,0,technical,low
367,1,0.1,0.83,6,258,4,0,0,management,low
368,1,0.4,0.56,2,131,3,0,0,IT,low
369,1,0.82,0.86,5,243,5,0,0,IT,low
370,1,0.1,0.82,6,266,4,0,0,IT,low
371,1,0.37,0.45,2,142,3,0,0,IT,low
372,1,0.36,0.51,2,135,3,0,0,IT,low
373,1,0.39,0.48,2,141,3,0,0,product_mng,medium
374,1,0.36,0.57,2,142,3,0,0,product_mng,medium
375,1,0.86,0.84,5,254,5,0,0,product_mng,medium
376,1,0.73,0.99,5,262,5,0,0,product_mng,medium
377,1,0.56,0.71,4,296,2,0,0,IT,medium
378,1,0.44,0.56,2,158,3,0,0,accounting,medium
379,1,0.31,0.56,4,238,2,0,0,accounting,medium
380,1,0.77,0.93,4,231,5,0,0,hr,medium
381,1,0.44,0.45,2,156,3,0,0,hr,medium
382,1,0.38,0.46,2,145,3,0,0,hr,medium
383,1,0.45,0.48,2,144,3,0,0,marketing,medium
384,1,0.38,0.51,2,159,3,0,0,sales,medium
385,1,0.36,0.48,2,156,3,0,0,accounting,high
386,1,0.75,0.9,5,256,5,0,0,support,low
387,1,0.1,0.93,6,298,4,0,0,technical,medium
388,1,0.1,0.97,6,247,4,0,0,management,medium
389,1,0.45,0.5,2,157,3,0,0,marketing,medium
390,1,0.42,0.57,2,154,3,1,0,marketing,medium
391,1,0.78,1,4,253,5,0,0,marketing,low
392,1,0.45,0.55,2,148,3,0,0,sales,low
393,1,0.84,1,4,261,5,0,0,sales,low
394,1,0.11,0.93,6,282,4,0,0,sales,low
395,1,0.42,0.56,2,133,3,0,0,sales,low
396,1,0.45,0.46,2,128,3,0,0,sales,low
397,1,0.46,0.57,2,139,3,0,0,sales,low
398,1,0.09,0.79,6,293,5,0,0,sales,low
399,1,0.87,0.83,4,265,6,0,0,sales,low
400,1,0.1,0.87,6,250,4,0,0,sales,low
401,1,0.91,1,5,251,6,0,0,sales,low
402,1,0.76,0.92,4,246,5,0,0,sales,low
403,1,0.74,1,5,275,5,0,0,sales,low
404,1,0.92,0.93,5,240,5,0,0,sales,low
405,1,0.76,0.87,5,245,5,0,0,sales,low
406,1,0.47,0.5,4,254,4,0,0,sales,low
407,1,0.73,0.99,5,241,5,0,0,sales,low
408,1,0.09,0.94,6,257,4,0,0,sales,low
409,1,0.91,0.92,4,246,5,0,0,sales,low
410,1,0.82,0.98,4,233,5,0,0,sales,low
411,1,0.28,0.45,6,218,4,0,0,accounting,low
412,1,0.84,0.99,4,262,6,0,0,accounting,medium
413,1,0.45,0.53,2,138,3,0,0,accounting,medium
414,1,0.45,0.54,2,142,3,0,0,hr,medium
415,1,0.91,0.97,5,233,5,0,0,hr,medium
416,1,0.42,0.48,2,155,3,0,0,hr,medium
417,1,0.82,1,4,229,6,0,0,hr,medium
418,1,0.11,0.9,6,264,4,0,0,technical,medium
419,1,0.42,0.53,3,199,4,0,0,technical,medium
420,1,0.82,0.85,4,223,5,0,0,technical,medium
421,1,0.09,0.96,6,268,4,0,0,technical,medium
422,1,0.1,0.94,6,287,4,0,0,technical,medium
423,1,0.86,1,5,257,5,0,0,technical,medium
424,1,0.4,0.46,2,143,3,0,0,technical,high
425,1,0.45,0.46,2,130,3,0,0,technical,low
426,1,0.42,0.51,2,136,3,0,0,technical,medium
427,1,0.74,0.92,4,261,5,0,0,technical,medium
428,1,0.55,0.6,3,180,4,0,0,technical,medium
429,1,0.37,0.45,2,126,3,0,0,support,medium
430,1,0.41,0.52,2,127,3,1,0,support,low
431,1,0.89,0.65,5,195,6,0,0,support,low
432,1,0.41,0.57,2,160,3,0,0,support,low
433,1,0.44,0.51,2,150,3,0,0,support,low
434,1,0.87,0.84,4,264,6,0,0,support,low
435,1,0.1,0.84,6,309,4,0,0,support,low
436,1,0.41,0.47,2,135,3,0,0,support,low
437,1,0.11,0.85,6,261,4,0,0,support,low
438,1,0.43,0.53,2,160,3,0,0,support,low
439,1,0.77,0.9,4,237,5,0,0,support,low
440,1,0.41,0.52,2,136,3,0,0,technical,low
441,1,0.41,0.48,2,139,3,0,0,technical,low
442,1,0.36,0.78,2,151,4,0,0,technical,low
443,1,0.77,1,5,229,5,0,0,management,low
444,1,0.81,0.98,5,245,5,0,0,IT,low
445,1,0.39,0.54,2,127,3,0,0,IT,low
446,1,0.09,0.94,6,283,5,0,0,IT,low
447,1,0.44,0.46,2,143,3,0,0,IT,low
448,1,0.1,0.84,5,298,4,0,0,IT,low
449,1,0.36,0.48,2,159,3,0,0,product_mng,low
450,1,0.81,0.92,5,239,5,0,0,product_mng,low
451,1,0.81,0.9,4,226,5,0,0,product_mng,medium
452,1,0.85,0.98,5,248,5,0,0,product_mng,medium
453,1,0.1,0.87,6,286,4,0,0,IT,medium
454,1,0.37,0.54,2,145,3,0,0,RandD,medium
455,1,0.09,0.97,7,254,4,1,0,RandD,medium
456,1,0.44,0.53,2,127,3,0,0,RandD,medium
457,1,0.86,0.93,5,223,5,0,0,RandD,medium
458,1,0.77,1,4,255,5,0,0,RandD,medium
459,1,0.41,0.48,2,136,3,0,0,marketing,medium
460,1,0.4,0.48,2,137,3,0,0,sales,medium
461,1,0.43,0.49,2,135,3,0,0,accounting,medium
462,1,0.43,0.5,2,137,3,0,0,support,medium
463,1,0.8,0.53,3,255,5,0,0,technical,high
464,1,0.8,0.85,4,273,5,0,0,management,low
465,1,0.82,0.98,5,234,5,0,0,marketing,medium
466,1,0.37,0.54,2,152,3,0,0,marketing,medium
467,1,0.37,0.48,2,134,3,0,0,marketing,medium
468,1,0.09,0.95,6,292,4,0,0,sales,medium
469,1,0.9,0.92,5,245,5,0,0,sales,low
470,1,0.41,0.52,2,159,3,0,0,sales,low
471,1,0.1,0.85,6,260,4,0,0,sales,low
472,1,0.44,0.53,2,149,3,0,0,sales,low
473,1,0.89,0.85,5,266,5,0,0,sales,low
474,1,0.42,0.56,2,149,3,0,0,sales,low
475,1,0.87,1,5,242,5,0,0,sales,low
476,1,0.45,0.57,2,134,3,0,0,sales,low
477,1,0.11,0.87,5,271,4,0,0,sales,low
478,1,0.09,0.79,6,275,4,0,0,sales,low
479,1,0.76,0.83,5,227,5,0,0,sales,low
480,1,0.11,0.96,7,277,5,0,0,sales,low
481,1,0.37,0.49,2,151,3,0,0,sales,low
482,1,0.1,0.79,6,274,4,0,0,sales,low
483,1,0.77,0.87,4,242,6,0,0,sales,low
484,1,0.42,0.54,2,143,3,1,0,sales,low
485,1,0.38,0.52,2,145,3,0,0,sales,low
486,1,0.32,0.95,5,172,2,0,0,sales,low
487,1,0.38,0.49,2,135,3,0,0,accounting,low
488,1,0.19,1,4,192,4,0,0,accounting,low
489,1,0.1,0.83,7,276,4,0,0,accounting,low
490,1,0.76,0.88,4,206,4,0,0,hr,medium
491,1,0.53,0.56,4,281,6,0,0,hr,medium
492,1,0.39,0.51,2,151,3,0,0,hr,medium
493,1,0.11,0.83,6,244,4,0,0,hr,medium
494,1,0.1,0.94,6,309,4,0,0,technical,medium
495,1,0.84,1,5,218,5,0,0,technical,medium
496,1,0.82,0.99,4,263,6,0,0,technical,medium
497,1,0.1,0.82,6,244,4,0,0,technical,medium
498,1,0.59,0.49,7,263,4,0,0,technical,medium
499,1,0.44,0.48,2,143,3,0,0,technical,medium
500,1,0.89,0.95,2,181,5,0,0,technical,medium
501,1,0.91,0.84,5,265,5,0,0,technical,medium
502,1,0.66,0.57,5,161,5,0,0,technical,high
503,1,0.11,0.87,7,282,5,0,0,technical,low
504,1,0.43,0.51,2,155,3,0,0,technical,medium
505,1,0.78,0.83,4,217,6,0,0,support,medium
506,1,0.11,0.97,6,289,5,0,0,support,medium
507,1,0.83,0.98,4,259,5,0,0,support,medium
508,1,0.39,0.54,2,158,3,0,0,support,low
509,1,0.38,0.55,2,158,3,0,0,support,low
510,1,0.37,0.57,2,155,3,0,0,support,low
